baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Hiddenite	[u'Lot: 17.4 acres', u'Single Family', u'Built in 1997', u'All time views: 5,183', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $257,000', u'Last sale price/sqft: $143', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,800 sqft', u'Parcel #: G-5 0050 C', u'Zillow Home ID: 106932226']	http://photos3.zillowstatic.com/p_e/ISx3d424puvh7t0000000000.jpg	257000.0	[]	1800.0	NC	261335.0	28636	106932226
2.0	3	Hiddenite	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1975', u'All time views: 491', u'Heating: Heat pump', u'Last sold: Dec 2015 for $185,100', u'Last sale price/sqft: $88', u'Parking: Garage - Attached', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,098 sqft', u'Parcel #: 13167', u'Zillow Home ID: 106934791']	http://photos2.zillowstatic.com/p_e/IS17e6shn80tws0000000000.jpg	185100.0	[]	2098.0	NC	184844.0	28636	106934791
1.0	3	Hiddenite	[u'Lot: 1.39 acres', u'Single Family', u'Built in 1962', u'All time views: 2,072', u'Cooling: Other', u'Last sold: Dec 2015 for $37,000', u'Last sale price/sqft: $22', u'851 sqft basement', u'Parking: Carport, 2 spaces', u'View: Territorial', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,702 sqft', u'Parcel #: 13550', u'Zillow Home ID: 115912196']	http://photos1.zillowstatic.com/p_e/ISxfq6mneh54el0000000000.jpg	37000.0	[]	1702.0	NC	87422.0	28636	115912196
2.0	3	Hiddenite	[u'Lot: 1 acre', u'Single Family', u'Built in 1999', u'All time views: 1,992', u'Last sold: Oct 2015 for $69,380', u'Last sale price/sqft: $44', u'Living room', u'Microwave', u'Range / Oven', u'Family room', u'Master bath', u'Stories: 1', u'Floor size: 1,566 sqft', u'Zillow Home ID: 2102589112']	http://photos3.zillowstatic.com/p_e/IShjqkqoc961jy0000000000.jpg	69380.0	[]	1566.0	NC	88866.0	28636	2102589112
2.75	3	Hiddenite	[u'Lot: 2.98 acres', u'Single Family', u'Built in 1977', u'All time views: 3,770', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump, Other, Stove', u'Last sold: Sep 2015 for $152,000', u'Last sale price/sqft: $51', u'853 sqft basement', u'Deck', u'Garden', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 565 sqft garage', u'Patio', u'Porch', u'View: Mountain, Water', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,008 sqft', u'Heating: Electric', u'Last remodel year: 2013', u'Parcel #: 11626', u'Zillow Home ID: 106932325']	http://photos1.zillowstatic.com/p_e/IS9p1bg0t32ddp1000000000.jpg	152000.0	[]	3008.0	NC	197606.0	28636	106932325
2.0	3	Hiddenite	[u'Lot: 1.58 acres', u'Single Family', u'Built in 2011', u'All time views: 1,632', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Aug 2015 for $97,000', u'Last sale price/sqft: $64', u'Parking: 1 space', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Parcel #: 13482', u'Zillow Home ID: 106934110']	http://photos3.zillowstatic.com/p_e/IS5azjo7fjf6on0000000000.jpg	97000.0	[]	1512.0	NC	98782.0	28636	106934110
1.0	3	Hiddenite	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1970', u'All time views: 849', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $74', u'Stories: 1', u'Floor size: 1,320 sqft', u'Parcel #: 12983', u'Zillow Home ID: 106933244']	http://photos3.zillowstatic.com/p_e/IShrwirnh95v800000000000.jpg	97500.0	[]	1320.0	NC	95766.0	28636	106933244
2.0	3	Hiddenite	[u'Lot: 21 acres', u'Single Family', u'Built in 2007', u'All time views: 3,511', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $2,524,491', u'Last sale price/sqft: $1,531', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Patio', u'Porch', u'Security System', u'Wired', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,649 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 137233', u'Zillow Home ID: 115912281']	http://photos3.zillowstatic.com/p_e/ISle58clfxjh9n1000000000.jpg	2524491.0	[]	1649.0	NC	256007.0	28636	115912281
3.0	4	Hiddenite	[u'Lot: 1.36 acres', u'Single Family', u'Built in 1976', u'All time views: 2,813', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $75', u'1900 sqft basement', u'Deck', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'View: Mountain', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,010 sqft', u'Heating: Other', u'Parcel #: 11771', u'Zillow Home ID: 115911670']	http://photos2.zillowstatic.com/p_e/IStw07dcupql5z0000000000.jpg	150000.0	[]	2010.0	NC	150206.0	28636	115911670
2.0	5	Hiddenite	[u'Lot: 6.45 acres', u'Single Family', u'Built in 2003', u'All time views: 3,302', u'Heating: Heat pump', u'Last sold: May 2016 for $198,000', u'Last sale price/sqft: $84', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 2,352 sqft', u'Parcel #: 66225', u'Zillow Home ID: 106935497']	http://photos3.zillowstatic.com/p_e/IShrokfdsdf4l81000000000.jpg	198000.0	[]	2352.0	NC	194915.0	28636	106935497
2.0	3	Hiddenite	[u'Baths: 1 full, 1 half', u'Lot: 0.62 acres', u'Single Family', u'Built in 1971', u'All time views: 2,206', u'Heating: Heat pump', u'Last sold: Apr 2016 for $110,000', u'Last sale price/sqft: $96', u'Parking: 2 spaces', u'Patio', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,150 sqft', u'Last remodel year: 2015', u'Parcel #: 13909', u'Zillow Home ID: 106934095']	http://photos1.zillowstatic.com/p_e/IS9hvoo81qokss0000000000.jpg	110000.0	[]	1150.0	NC	96530.0	28636	106934095
1.0	3	Hiddenite	[u'Lot: 3.3 acres', u'Single Family', u'Built in 1910', u'All time views: 10,727', u'Cooling: None', u'Heating: Other', u'Last sold: Mar 2016 for $97,000', u'Last sale price/sqft: $39', u'Fireplace', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,495 sqft', u'Heating: Oil', u'Last remodel year: 1930', u'Lot width: 700 ft', u'Parcel #: 4709429993.000', u'Zillow Home ID: 6071073']	http://photos3.zillowstatic.com/p_e/IS5ip1qn7n2hzm1000000000.jpg	97000.0	[]	2495.0	NC	136706.0	28636	6071073
2.0	3	Hiddenite	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1994', u'All time views: 1,924', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $46,600', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet', u'Driveway: Gravel', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Equipment: Ice Maker Connection', u'Doors Windows: Storm Door(s)', u'Architectural Style: Traditional', u'Sewer: Septic Tank', u'Zoning: Residential', u'Doors Windows: Storm Window(s)', u'Equipment: Exhaust Fan', u'Water: County Water', u'Green Certification: None', u'Property Sub Type: Manufactured Double-Wide', u'Laundry Location: Laundry Room', u'Driveway: Earth', u'Equipment: Oven', u'Parking: Parking Space - 3+', u'Parking: Driveway', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,120 sqft', u'Heating: Electric', u'Parcel #: 13701', u'Zillow Home ID: 106936109']	http://photos3.zillowstatic.com/p_e/IS5q7hgfdvk0qp1000000000.jpg	46600.0	[]	1120.0	NC	76759.0	28636	106936109
2.5	3	Hiddenite	[u'Lot: 17.4 acres', u'Single Family', u'Built in 1997', u'All time views: 5,184', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $257,000', u'Last sale price/sqft: $143', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,800 sqft', u'Parcel #: G-5 0050 C', u'Zillow Home ID: 106932226']	http://photos3.zillowstatic.com/p_e/ISx3d424puvh7t0000000000.jpg	257000.0	[]	1800.0	NC	261335.0	28636	106932226
2.0	3	Hiddenite	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1975', u'All time views: 493', u'Heating: Heat pump', u'Last sold: Dec 2015 for $185,100', u'Last sale price/sqft: $88', u'Parking: Garage - Attached', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,098 sqft', u'Parcel #: 13167', u'Zillow Home ID: 106934791']	http://photos2.zillowstatic.com/p_e/IS17e6shn80tws0000000000.jpg	185100.0	[]	2098.0	NC	184844.0	28636	106934791
1.0	3	Hiddenite	[u'Lot: 1.39 acres', u'Single Family', u'Built in 1962', u'All time views: 2,073', u'Cooling: Other', u'Last sold: Dec 2015 for $37,000', u'Last sale price/sqft: $22', u'851 sqft basement', u'Parking: Carport, 2 spaces', u'View: Territorial', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,702 sqft', u'Parcel #: 13550', u'Zillow Home ID: 115912196']	http://photos1.zillowstatic.com/p_e/ISxfq6mneh54el0000000000.jpg	37000.0	[]	1702.0	NC	87422.0	28636	115912196
2.0	3	Hiddenite	[u'Lot: 1 acre', u'Single Family', u'Built in 1999', u'All time views: 1,993', u'Last sold: Oct 2015 for $69,380', u'Last sale price/sqft: $44', u'Living room', u'Microwave', u'Range / Oven', u'Family room', u'Master bath', u'Stories: 1', u'Floor size: 1,566 sqft', u'Zillow Home ID: 2102589112']	http://photos3.zillowstatic.com/p_e/IShjqkqoc961jy0000000000.jpg	69380.0	[]	1566.0	NC	88866.0	28636	2102589112
2.75	3	Hiddenite	[u'Lot: 2.98 acres', u'Single Family', u'Built in 1977', u'All time views: 3,772', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump, Other, Stove', u'Last sold: Sep 2015 for $152,000', u'Last sale price/sqft: $51', u'853 sqft basement', u'Deck', u'Garden', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 565 sqft garage', u'Patio', u'Porch', u'View: Mountain, Water', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,008 sqft', u'Heating: Electric', u'Last remodel year: 2013', u'Parcel #: 11626', u'Zillow Home ID: 106932325']	http://photos1.zillowstatic.com/p_e/IS9p1bg0t32ddp1000000000.jpg	152000.0	[]	3008.0	NC	197606.0	28636	106932325
2.0	3	Hiddenite	[u'Lot: 1.58 acres', u'Single Family', u'Built in 2011', u'All time views: 1,633', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Aug 2015 for $97,000', u'Last sale price/sqft: $64', u'Parking: 1 space', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Parcel #: 13482', u'Zillow Home ID: 106934110']	http://photos3.zillowstatic.com/p_e/IS5azjo7fjf6on0000000000.jpg	97000.0	[]	1512.0	NC	98782.0	28636	106934110
1.0	3	Hiddenite	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1970', u'All time views: 850', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $74', u'Stories: 1', u'Floor size: 1,320 sqft', u'Parcel #: 12983', u'Zillow Home ID: 106933244']	http://photos3.zillowstatic.com/p_e/IShrwirnh95v800000000000.jpg	97500.0	[]	1320.0	NC	95766.0	28636	106933244
2.0	3	Hiddenite	[u'Lot: 21 acres', u'Single Family', u'Built in 2007', u'All time views: 3,512', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $2,524,491', u'Last sale price/sqft: $1,531', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Patio', u'Porch', u'Security System', u'Wired', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,649 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 137233', u'Zillow Home ID: 115912281']	http://photos3.zillowstatic.com/p_e/ISle58clfxjh9n1000000000.jpg	2524491.0	[]	1649.0	NC	256007.0	28636	115912281
3.0	4	Hiddenite	[u'Lot: 1.36 acres', u'Single Family', u'Built in 1976', u'All time views: 2,814', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $75', u'1900 sqft basement', u'Deck', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'View: Mountain', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,010 sqft', u'Heating: Other', u'Parcel #: 11771', u'Zillow Home ID: 115911670']	http://photos2.zillowstatic.com/p_e/IStw07dcupql5z0000000000.jpg	150000.0	[]	2010.0	NC	150206.0	28636	115911670
2.0	5	Hiddenite	[u'Lot: 6.45 acres', u'Single Family', u'Built in 2003', u'All time views: 3,303', u'Heating: Heat pump', u'Last sold: May 2016 for $198,000', u'Last sale price/sqft: $84', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 2,352 sqft', u'Parcel #: 66225', u'Zillow Home ID: 106935497']	http://photos3.zillowstatic.com/p_e/IShrokfdsdf4l81000000000.jpg	198000.0	[]	2352.0	NC	194915.0	28636	106935497
2.0	3	Hiddenite	[u'Baths: 1 full, 1 half', u'Lot: 0.62 acres', u'Single Family', u'Built in 1971', u'All time views: 2,207', u'Heating: Heat pump', u'Last sold: Apr 2016 for $110,000', u'Last sale price/sqft: $96', u'Parking: 2 spaces', u'Patio', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,150 sqft', u'Last remodel year: 2015', u'Parcel #: 13909', u'Zillow Home ID: 106934095']	http://photos1.zillowstatic.com/p_e/IS9hvoo81qokss0000000000.jpg	110000.0	[]	1150.0	NC	96530.0	28636	106934095
1.0	3	Hiddenite	[u'Lot: 3.3 acres', u'Single Family', u'Built in 1910', u'All time views: 10,728', u'Cooling: None', u'Heating: Other', u'Last sold: Mar 2016 for $97,000', u'Last sale price/sqft: $39', u'Fireplace', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,495 sqft', u'Heating: Oil', u'Last remodel year: 1930', u'Lot width: 700 ft', u'Parcel #: 4709429993.000', u'Zillow Home ID: 6071073']	http://photos3.zillowstatic.com/p_e/IS5ip1qn7n2hzm1000000000.jpg	97000.0	[]	2495.0	NC	136706.0	28636	6071073
2.0	3	Hiddenite	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1994', u'All time views: 1,926', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $46,600', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet', u'Driveway: Gravel', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Equipment: Ice Maker Connection', u'Doors Windows: Storm Door(s)', u'Architectural Style: Traditional', u'Sewer: Septic Tank', u'Zoning: Residential', u'Doors Windows: Storm Window(s)', u'Equipment: Exhaust Fan', u'Water: County Water', u'Green Certification: None', u'Property Sub Type: Manufactured Double-Wide', u'Laundry Location: Laundry Room', u'Driveway: Earth', u'Equipment: Oven', u'Parking: Parking Space - 3+', u'Parking: Driveway', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,120 sqft', u'Heating: Electric', u'Parcel #: 13701', u'Zillow Home ID: 106936109']	http://photos3.zillowstatic.com/p_e/IS5q7hgfdvk0qp1000000000.jpg	46600.0	[]	1120.0	NC	76759.0	28636	106936109
2.5	3	Hiddenite	[u'Lot: 17.4 acres', u'Single Family', u'Built in 1997', u'All time views: 5,185', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $257,000', u'Last sale price/sqft: $143', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,800 sqft', u'Parcel #: G-5 0050 C', u'Zillow Home ID: 106932226']	http://photos3.zillowstatic.com/p_e/ISx3d424puvh7t0000000000.jpg	257000.0	[]	1800.0	NC	261335.0	28636	106932226
2.0	3	Hiddenite	[u'Lot: 1.43 acres', u'Single Family', u'Built in 1975', u'All time views: 492', u'Heating: Heat pump', u'Last sold: Dec 2015 for $185,100', u'Last sale price/sqft: $88', u'Parking: Garage - Attached', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,098 sqft', u'Parcel #: 13167', u'Zillow Home ID: 106934791']	http://photos2.zillowstatic.com/p_e/IS17e6shn80tws0000000000.jpg	185100.0	[]	2098.0	NC	184844.0	28636	106934791
1.0	3	Hiddenite	[u'Lot: 1.39 acres', u'Single Family', u'Built in 1962', u'All time views: 2,074', u'Cooling: Other', u'Last sold: Dec 2015 for $37,000', u'Last sale price/sqft: $22', u'851 sqft basement', u'Parking: Carport, 2 spaces', u'View: Territorial', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,702 sqft', u'Parcel #: 13550', u'Zillow Home ID: 115912196']	http://photos1.zillowstatic.com/p_e/ISxfq6mneh54el0000000000.jpg	37000.0	[]	1702.0	NC	87422.0	28636	115912196
2.0	3	Hiddenite	[u'Lot: 1 acre', u'Single Family', u'Built in 1999', u'All time views: 1,994', u'Last sold: Oct 2015 for $69,380', u'Last sale price/sqft: $44', u'Living room', u'Microwave', u'Range / Oven', u'Family room', u'Master bath', u'Stories: 1', u'Floor size: 1,566 sqft', u'Zillow Home ID: 2102589112']	http://photos3.zillowstatic.com/p_e/IShjqkqoc961jy0000000000.jpg	69380.0	[]	1566.0	NC	88866.0	28636	2102589112
2.75	3	Hiddenite	[u'Lot: 2.98 acres', u'Single Family', u'Built in 1977', u'All time views: 3,771', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump, Other, Stove', u'Last sold: Sep 2015 for $152,000', u'Last sale price/sqft: $51', u'853 sqft basement', u'Deck', u'Garden', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 565 sqft garage', u'Patio', u'Porch', u'View: Mountain, Water', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,008 sqft', u'Heating: Electric', u'Last remodel year: 2013', u'Parcel #: 11626', u'Zillow Home ID: 106932325']	http://photos1.zillowstatic.com/p_e/IS9p1bg0t32ddp1000000000.jpg	152000.0	[]	3008.0	NC	197606.0	28636	106932325
2.0	3	Hiddenite	[u'Lot: 1.58 acres', u'Single Family', u'Built in 2011', u'All time views: 1,634', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Aug 2015 for $97,000', u'Last sale price/sqft: $64', u'Parking: 1 space', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Parcel #: 13482', u'Zillow Home ID: 106934110']	http://photos3.zillowstatic.com/p_e/IS5azjo7fjf6on0000000000.jpg	97000.0	[]	1512.0	NC	98782.0	28636	106934110
1.0	3	Hiddenite	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1970', u'All time views: 851', u'Heating: Heat pump', u'Last sold: Jul 2015 for $97,500', u'Last sale price/sqft: $74', u'Stories: 1', u'Floor size: 1,320 sqft', u'Parcel #: 12983', u'Zillow Home ID: 106933244']	http://photos3.zillowstatic.com/p_e/IShrwirnh95v800000000000.jpg	97500.0	[]	1320.0	NC	95766.0	28636	106933244
2.0	3	Hiddenite	[u'Lot: 21 acres', u'Single Family', u'Built in 2007', u'All time views: 3,513', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $2,524,491', u'Last sale price/sqft: $1,531', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: None', u'Patio', u'Porch', u'Security System', u'Wired', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,649 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 137233', u'Zillow Home ID: 115912281']	http://photos3.zillowstatic.com/p_e/ISle58clfxjh9n1000000000.jpg	2524491.0	[]	1649.0	NC	256007.0	28636	115912281
3.0	4	Hiddenite	[u'Lot: 1.36 acres', u'Single Family', u'Built in 1976', u'All time views: 2,815', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $75', u'1900 sqft basement', u'Deck', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'View: Mountain', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,010 sqft', u'Heating: Other', u'Parcel #: 11771', u'Zillow Home ID: 115911670']	http://photos2.zillowstatic.com/p_e/IStw07dcupql5z0000000000.jpg	150000.0	[]	2010.0	NC	150206.0	28636	115911670
2.0	5	Hiddenite	[u'Lot: 6.45 acres', u'Single Family', u'Built in 2003', u'All time views: 3,304', u'Heating: Heat pump', u'Last sold: May 2016 for $198,000', u'Last sale price/sqft: $84', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 2,352 sqft', u'Parcel #: 66225', u'Zillow Home ID: 106935497']	http://photos3.zillowstatic.com/p_e/IShrokfdsdf4l81000000000.jpg	198000.0	[]	2352.0	NC	194915.0	28636	106935497
2.0	3	Hiddenite	[u'Baths: 1 full, 1 half', u'Lot: 0.62 acres', u'Single Family', u'Built in 1971', u'All time views: 2,208', u'Heating: Heat pump', u'Last sold: Apr 2016 for $110,000', u'Last sale price/sqft: $96', u'Parking: 2 spaces', u'Patio', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,150 sqft', u'Last remodel year: 2015', u'Parcel #: 13909', u'Zillow Home ID: 106934095']	http://photos1.zillowstatic.com/p_e/IS9hvoo81qokss0000000000.jpg	110000.0	[]	1150.0	NC	96530.0	28636	106934095
1.0	3	Hiddenite	[u'Lot: 3.3 acres', u'Single Family', u'Built in 1910', u'All time views: 10,729', u'Cooling: None', u'Heating: Other', u'Last sold: Mar 2016 for $97,000', u'Last sale price/sqft: $39', u'Fireplace', u'Parking: Carport, 2 spaces', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,495 sqft', u'Heating: Oil', u'Last remodel year: 1930', u'Lot width: 700 ft', u'Parcel #: 4709429993.000', u'Zillow Home ID: 6071073']	http://photos3.zillowstatic.com/p_e/IS5ip1qn7n2hzm1000000000.jpg	97000.0	[]	2495.0	NC	136706.0	28636	6071073
2.0	3	Hiddenite	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1994', u'All time views: 1,927', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $46,600', u'Last sale price/sqft: $42', u'Deck', u'Fireplace', u'Flooring: Carpet', u'Driveway: Gravel', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Equipment: Ice Maker Connection', u'Doors Windows: Storm Door(s)', u'Architectural Style: Traditional', u'Sewer: Septic Tank', u'Zoning: Residential', u'Doors Windows: Storm Window(s)', u'Equipment: Exhaust Fan', u'Water: County Water', u'Green Certification: None', u'Property Sub Type: Manufactured Double-Wide', u'Laundry Location: Laundry Room', u'Driveway: Earth', u'Equipment: Oven', u'Parking: Parking Space - 3+', u'Parking: Driveway', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,120 sqft', u'Heating: Electric', u'Parcel #: 13701', u'Zillow Home ID: 106936109']	http://photos3.zillowstatic.com/p_e/IS5q7hgfdvk0qp1000000000.jpg	46600.0	[]	1120.0	NC	76759.0	28636	106936109
2.5	3	Hiddenite	[u'Lot: 17.4 acres', u'Single Family', u'Built in 1997', u'All time views: 5,186', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $257,000', u'Last sale price/sqft: $143', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,800 sqft', u'Parcel #: G-5 0050 C', u'Zillow Home ID: 106932226']	http://photos3.zillowstatic.com/p_e/ISx3d424puvh7t0000000000.jpg	257000.0	[]	1800.0	NC	261335.0	28636	106932226
