baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Hays	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1998', u'All time views: 1,575', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $85,000', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate', u'Parking: Garage - Detached', u'Water Heater: Electric', u'Master Bedroom', u'Main Level', u'Apx SqFt: 1600 - 1800 SF', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Attic: None', u'Basement: None', u'Newly Decorated', u'Construction: Vinyl Siding', u'Water: Community Water', u'Heating System: Other-See Remarks', u'Apx Age: 16 - 20', u'Area: Area 4', u'Type: Double Wide Mobile Home', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Floor size: 1,790 sqft', u'Heating: Gas', u'Parcel #: 1603676', u'Zillow Home ID: 86692562']	http://photos2.zillowstatic.com/p_e/IS1z3xrwn8boeo0000000000.jpg	85000.0	[]	1790.0	NC	83606.0	28635	86692562
1.0	2	Hays	[u'Lot: 1 acre', u'Single Family', u'Built in 1959', u'All time views: 2,327', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $122,000', u'Last sale price/sqft: $85', u'1200 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Porch', u'Skylight', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Financing: VA', u'Smoke Detector', u'Apx Age: Over 50', u'Construction: Vinyl Siding', u'1-5 Acres', u'Heating System: Oil Duct Heat', u'Area: Area 4', u'Apx SqFt: 1400 - 1600 SF', u'Lots', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Parcel #: 1602925', u'Zillow Home ID: 86692349']	http://photos3.zillowstatic.com/p_e/IStgoqbly81qfd0000000000.jpg	122000.0	[]	1440.0	NC	84269.0	28635	86692349
3.0	4	North Wilkesboro	[u'Lot: 5 acres', u'Single Family', u'Built in 2000', u'All time views: 3,047', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $173,500', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Porch', u'View: Mountain', u'Type: Ranch', u'Apx SqFt: 3000 - 3200 SF', u'Foundation: Basement', u'Basement: Partially Finished', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Asphalt Drive', u'Location Description: Hill & Mountain View', u'Large Master Bedroom', u'Property Status: Active', u'Property Type: Residential', u'Road Maintenance: Paved', u'Water: Private Well', u'Area: Area 3', u'Construction: Vinyl Siding', u'1-5 Acres', u'5-10 Acres', u'Road Maintenance: Private Maintained', u'Garage: Other-See Remarks', u'Heating System: Wood Stove', u'Apx Age: 11 - 15', u'Apx SqFt: Other-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 9', u'Structure type: Ranch', u'Floor size: 3,150 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1204673', u'Zillow Home ID: 86686887']	http://photos1.zillowstatic.com/p_e/ISphiv6auipkid0000000000.jpg	173500.0	[]	3150.0	NC	216279.0	28659	86686887
1.0	3	Hays	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1981', u'All time views: 3,347', u'Cooling: Other', u'Last sold: Jan 2016 for $65,250', u'Last sale price/sqft: $62', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl', u'Type: Ranch', u'Apx Age: Over 25', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Garage: None', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Windows', u'Property Status: Active', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Financing: FHA', u'Financing: VA', u'Basement: None', u'Construction: Brick', u'Construction: Vinyl Siding', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Air Conditioning: Other-See Remarks', u'Area: Area 4', u'Financing: Owner Financing', u'Financing: Lease Option', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,050 sqft', u'Heating: Electric', u'Parcel #: 1601436', u'Zillow Home ID: 86691797']	http://photos3.zillowstatic.com/p_e/ISuoyn6akixx0w1000000000.jpg	65250.0	[]	1050.0	NC	74306.0	28635	86691797
2.0	3	Hays	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 6,673', u'Last sold: Sep 2015 for $199,000', u'Last sale price/sqft: $106', u'Water Heater: Electric', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Hill & Mountain View', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Type: 1.5 Story', u'Water: Private Well', u'Basement: None', u'Heating System: Central', u'Smoke Detector', u'Workshop', u'5-10 Acres', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Road Maintenance: Private Maintained', u'Construction: Frame', u'Attic: Permanent Stairs', u'Apx SqFt: 2200 - 2400 SF', u'Area: Area 4', u'Apx Age: 11 - 15', u'Road Maintenance: Gravel', u'Floor size: 1,875 sqft', u'Parcel #: 2101674', u'Zillow Home ID: 86694562']	http://photos3.zillowstatic.com/p_e/IS5abtf8p2sfwl0000000000.jpg	199000.0	[]	1875.0	NC	0.0	28635	86694562
1.0	3	Hays	[u'Lot: 33.4 acres', u'Single Family', u'Built in 1960', u'All time views: 2,161', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $150,000', u'Last sale price/sqft: $125', u'Flooring: Carpet, Linoleum / Vinyl', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Road Maintenance: Public Maintained', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Road Maintenance: Paved', u'Apx Age: Over 50', u'Location Description: Gravel Drive', u'Construction: Frame', u'Water: Community Water', u'20-50 Acres', u'Creek', u'Location Description: Horses Permitted', u'Area: Area 4', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Room count: 6', u'Structure type: Ranch', u'Floor size: 1,196 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 1200496', u'Zillow Home ID: 86686977']	http://photos2.zillowstatic.com/p_e/IS5yxqjzn0j7z80000000000.jpg	150000.0	[]	1196.0	NC	0.0	28635	86686977
1.0	1	North Wilkesboro	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1939', u'All time views: 4,123', u'Last sold: Apr 2016 for $14,000', u'Last sale price/sqft: $11', u'Flooring: Carpet', u'Exterior material: Vinyl', u'Structure type: Ranch', u'Floor size: 1,253 sqft', u'Parcel #: 1201569', u'Zillow Home ID: 86685913']	http://photos2.zillowstatic.com/p_e/IS5e2xfhupnrrw0000000000.jpg	14000.0	[]	1253.0	NC	69415.0	28659	86685913
2.0	3	Hays	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1998', u'All time views: 1,577', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $85,000', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate', u'Parking: Garage - Detached', u'Water Heater: Electric', u'Master Bedroom', u'Main Level', u'Apx SqFt: 1600 - 1800 SF', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Attic: None', u'Basement: None', u'Newly Decorated', u'Construction: Vinyl Siding', u'Water: Community Water', u'Heating System: Other-See Remarks', u'Apx Age: 16 - 20', u'Area: Area 4', u'Type: Double Wide Mobile Home', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Floor size: 1,790 sqft', u'Heating: Gas', u'Parcel #: 1603676', u'Zillow Home ID: 86692562']	http://photos2.zillowstatic.com/p_e/IS1z3xrwn8boeo0000000000.jpg	85000.0	[]	1790.0	NC	83606.0	28635	86692562
1.0	2	Hays	[u'Lot: 1 acre', u'Single Family', u'Built in 1959', u'All time views: 2,329', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $122,000', u'Last sale price/sqft: $85', u'1200 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Porch', u'Skylight', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Financing: VA', u'Smoke Detector', u'Apx Age: Over 50', u'Construction: Vinyl Siding', u'1-5 Acres', u'Heating System: Oil Duct Heat', u'Area: Area 4', u'Apx SqFt: 1400 - 1600 SF', u'Lots', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Parcel #: 1602925', u'Zillow Home ID: 86692349']	http://photos3.zillowstatic.com/p_e/IStgoqbly81qfd0000000000.jpg	122000.0	[]	1440.0	NC	84269.0	28635	86692349
3.0	4	North Wilkesboro	[u'Lot: 5 acres', u'Single Family', u'Built in 2000', u'All time views: 3,050', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $173,500', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Porch', u'View: Mountain', u'Type: Ranch', u'Apx SqFt: 3000 - 3200 SF', u'Foundation: Basement', u'Basement: Partially Finished', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Asphalt Drive', u'Location Description: Hill & Mountain View', u'Large Master Bedroom', u'Property Status: Active', u'Property Type: Residential', u'Road Maintenance: Paved', u'Water: Private Well', u'Area: Area 3', u'Construction: Vinyl Siding', u'1-5 Acres', u'5-10 Acres', u'Road Maintenance: Private Maintained', u'Garage: Other-See Remarks', u'Heating System: Wood Stove', u'Apx Age: 11 - 15', u'Apx SqFt: Other-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 9', u'Structure type: Ranch', u'Floor size: 3,150 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1204673', u'Zillow Home ID: 86686887']	http://photos1.zillowstatic.com/p_e/ISphiv6auipkid0000000000.jpg	173500.0	[]	3150.0	NC	216279.0	28659	86686887
1.0	3	Hays	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1981', u'All time views: 3,349', u'Cooling: Other', u'Last sold: Jan 2016 for $65,250', u'Last sale price/sqft: $62', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl', u'Type: Ranch', u'Apx Age: Over 25', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Garage: None', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Windows', u'Property Status: Active', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Financing: FHA', u'Financing: VA', u'Basement: None', u'Construction: Brick', u'Construction: Vinyl Siding', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Air Conditioning: Other-See Remarks', u'Area: Area 4', u'Financing: Owner Financing', u'Financing: Lease Option', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,050 sqft', u'Heating: Electric', u'Parcel #: 1601436', u'Zillow Home ID: 86691797']	http://photos3.zillowstatic.com/p_e/ISuoyn6akixx0w1000000000.jpg	65250.0	[]	1050.0	NC	74306.0	28635	86691797
2.0	3	Hays	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 6,674', u'Last sold: Sep 2015 for $199,000', u'Last sale price/sqft: $106', u'Water Heater: Electric', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Hill & Mountain View', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Type: 1.5 Story', u'Water: Private Well', u'Basement: None', u'Heating System: Central', u'Smoke Detector', u'Workshop', u'5-10 Acres', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Road Maintenance: Private Maintained', u'Construction: Frame', u'Attic: Permanent Stairs', u'Apx SqFt: 2200 - 2400 SF', u'Area: Area 4', u'Apx Age: 11 - 15', u'Road Maintenance: Gravel', u'Floor size: 1,875 sqft', u'Parcel #: 2101674', u'Zillow Home ID: 86694562']	http://photos3.zillowstatic.com/p_e/IS5abtf8p2sfwl0000000000.jpg	199000.0	[]	1875.0	NC	0.0	28635	86694562
1.0	3	Hays	[u'Lot: 33.4 acres', u'Single Family', u'Built in 1960', u'All time views: 2,164', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $150,000', u'Last sale price/sqft: $125', u'Flooring: Carpet, Linoleum / Vinyl', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Road Maintenance: Public Maintained', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Road Maintenance: Paved', u'Apx Age: Over 50', u'Location Description: Gravel Drive', u'Construction: Frame', u'Water: Community Water', u'20-50 Acres', u'Creek', u'Location Description: Horses Permitted', u'Area: Area 4', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Room count: 6', u'Structure type: Ranch', u'Floor size: 1,196 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 1200496', u'Zillow Home ID: 86686977']	http://photos2.zillowstatic.com/p_e/IS5yxqjzn0j7z80000000000.jpg	150000.0	[]	1196.0	NC	0.0	28635	86686977
1.0	1	North Wilkesboro	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1939', u'All time views: 4,124', u'Last sold: Apr 2016 for $14,000', u'Last sale price/sqft: $11', u'Flooring: Carpet', u'Exterior material: Vinyl', u'Structure type: Ranch', u'Floor size: 1,253 sqft', u'Parcel #: 1201569', u'Zillow Home ID: 86685913']	http://photos2.zillowstatic.com/p_e/IS5e2xfhupnrrw0000000000.jpg	14000.0	[]	1253.0	NC	69415.0	28659	86685913
2.0	3	Hays	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1998', u'All time views: 1,579', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $85,000', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate', u'Parking: Garage - Detached', u'Water Heater: Electric', u'Master Bedroom', u'Main Level', u'Apx SqFt: 1600 - 1800 SF', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Attic: None', u'Basement: None', u'Newly Decorated', u'Construction: Vinyl Siding', u'Water: Community Water', u'Heating System: Other-See Remarks', u'Apx Age: 16 - 20', u'Area: Area 4', u'Type: Double Wide Mobile Home', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Floor size: 1,790 sqft', u'Heating: Gas', u'Parcel #: 1603676', u'Zillow Home ID: 86692562']	http://photos2.zillowstatic.com/p_e/IS1z3xrwn8boeo0000000000.jpg	85000.0	[]	1790.0	NC	83606.0	28635	86692562
1.0	2	Hays	[u'Lot: 1 acre', u'Single Family', u'Built in 1959', u'All time views: 2,330', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $122,000', u'Last sale price/sqft: $85', u'1200 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Porch', u'Skylight', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Financing: VA', u'Smoke Detector', u'Apx Age: Over 50', u'Construction: Vinyl Siding', u'1-5 Acres', u'Heating System: Oil Duct Heat', u'Area: Area 4', u'Apx SqFt: 1400 - 1600 SF', u'Lots', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Parcel #: 1602925', u'Zillow Home ID: 86692349']	http://photos3.zillowstatic.com/p_e/IStgoqbly81qfd0000000000.jpg	122000.0	[]	1440.0	NC	84269.0	28635	86692349
3.0	4	North Wilkesboro	[u'Lot: 5 acres', u'Single Family', u'Built in 2000', u'All time views: 3,051', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $173,500', u'Last sale price/sqft: $55', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Porch', u'View: Mountain', u'Type: Ranch', u'Apx SqFt: 3000 - 3200 SF', u'Foundation: Basement', u'Basement: Partially Finished', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Asphalt Drive', u'Location Description: Hill & Mountain View', u'Large Master Bedroom', u'Property Status: Active', u'Property Type: Residential', u'Road Maintenance: Paved', u'Water: Private Well', u'Area: Area 3', u'Construction: Vinyl Siding', u'1-5 Acres', u'5-10 Acres', u'Road Maintenance: Private Maintained', u'Garage: Other-See Remarks', u'Heating System: Wood Stove', u'Apx Age: 11 - 15', u'Apx SqFt: Other-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 9', u'Structure type: Ranch', u'Floor size: 3,150 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1204673', u'Zillow Home ID: 86686887']	http://photos1.zillowstatic.com/p_e/ISphiv6auipkid0000000000.jpg	173500.0	[]	3150.0	NC	216279.0	28659	86686887
1.0	3	Hays	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1981', u'All time views: 3,350', u'Cooling: Other', u'Last sold: Jan 2016 for $65,250', u'Last sale price/sqft: $62', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl', u'Type: Ranch', u'Apx Age: Over 25', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Garage: None', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Windows', u'Property Status: Active', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Foundation: Crawl Space', u'Financing: FHA', u'Financing: VA', u'Basement: None', u'Construction: Brick', u'Construction: Vinyl Siding', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Heating System: Other-See Remarks', u'Air Conditioning: Other-See Remarks', u'Area: Area 4', u'Financing: Owner Financing', u'Financing: Lease Option', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,050 sqft', u'Heating: Electric', u'Parcel #: 1601436', u'Zillow Home ID: 86691797']	http://photos3.zillowstatic.com/p_e/ISuoyn6akixx0w1000000000.jpg	65250.0	[]	1050.0	NC	74306.0	28635	86691797
2.0	3	Hays	[u'Lot: 10 acres', u'Single Family', u'Built in 1999', u'All time views: 6,675', u'Last sold: Sep 2015 for $199,000', u'Last sale price/sqft: $106', u'Water Heater: Electric', u'Burglar Alarm', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Location Description: Hill & Mountain View', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Type: 1.5 Story', u'Water: Private Well', u'Basement: None', u'Heating System: Central', u'Smoke Detector', u'Workshop', u'5-10 Acres', u'Location Description: Gravel Drive', u'Other-See Remarks', u'Road Maintenance: Private Maintained', u'Construction: Frame', u'Attic: Permanent Stairs', u'Apx SqFt: 2200 - 2400 SF', u'Area: Area 4', u'Apx Age: 11 - 15', u'Road Maintenance: Gravel', u'Floor size: 1,875 sqft', u'Parcel #: 2101674', u'Zillow Home ID: 86694562']	http://photos3.zillowstatic.com/p_e/IS5abtf8p2sfwl0000000000.jpg	199000.0	[]	1875.0	NC	0.0	28635	86694562
1.0	3	Hays	[u'Lot: 33.4 acres', u'Single Family', u'Built in 1960', u'All time views: 2,165', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $150,000', u'Last sale price/sqft: $125', u'Flooring: Carpet, Linoleum / Vinyl', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Attic: Access Only', u'Garage: None', u'Master Bedroom', u'Main Level', u'Road Maintenance: Public Maintained', u'Apx SqFt: 1000 - 1200 SF', u'Property Type: Residential', u'Road Maintenance: Paved', u'Apx Age: Over 50', u'Location Description: Gravel Drive', u'Construction: Frame', u'Water: Community Water', u'20-50 Acres', u'Creek', u'Location Description: Horses Permitted', u'Area: Area 4', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Composition', u'Room count: 6', u'Structure type: Ranch', u'Floor size: 1,196 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 1200496', u'Zillow Home ID: 86686977']	http://photos2.zillowstatic.com/p_e/IS5yxqjzn0j7z80000000000.jpg	150000.0	[]	1196.0	NC	0.0	28635	86686977
1.0	1	North Wilkesboro	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1939', u'All time views: 4,125', u'Last sold: Apr 2016 for $14,000', u'Last sale price/sqft: $11', u'Flooring: Carpet', u'Exterior material: Vinyl', u'Structure type: Ranch', u'Floor size: 1,253 sqft', u'Parcel #: 1201569', u'Zillow Home ID: 86685913']	http://photos2.zillowstatic.com/p_e/IS5e2xfhupnrrw0000000000.jpg	14000.0	[]	1253.0	NC	69415.0	28659	86685913
2.0	3	Hays	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1998', u'All time views: 1,580', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $85,000', u'Last sale price/sqft: $47', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate', u'Parking: Garage - Detached', u'Water Heater: Electric', u'Master Bedroom', u'Main Level', u'Apx SqFt: 1600 - 1800 SF', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Large Master Bedroom', u'Financing: Conventional', u'Property Status: Active', u'Property Type: Residential', u'Foundation: Crawl Space', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Attic: None', u'Basement: None', u'Newly Decorated', u'Construction: Vinyl Siding', u'Water: Community Water', u'Heating System: Other-See Remarks', u'Apx Age: 16 - 20', u'Area: Area 4', u'Type: Double Wide Mobile Home', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Floor size: 1,790 sqft', u'Heating: Gas', u'Parcel #: 1603676', u'Zillow Home ID: 86692562']	http://photos2.zillowstatic.com/p_e/IS1z3xrwn8boeo0000000000.jpg	85000.0	[]	1790.0	NC	83606.0	28635	86692562
1.0	2	Hays	[u'Lot: 1 acre', u'Single Family', u'Built in 1959', u'All time views: 2,331', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $122,000', u'Last sale price/sqft: $85', u'1200 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Porch', u'Skylight', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Type: Ranch', u'Foundation: Basement', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Master Bedroom', u'Main Level', u'Gas Logs', u'Private Yard', u'Road Maintenance: Public Maintained', u'Financing: Cash', u'Financing: Conventional', u'Property Type: Residential', u'Location Description: Concrete Drive', u'Road Maintenance: Paved', u'Financing: FHA', u'Financing: VA', u'Smoke Detector', u'Apx Age: Over 50', u'Construction: Vinyl Siding', u'1-5 Acres', u'Heating System: Oil Duct Heat', u'Area: Area 4', u'Apx SqFt: 1400 - 1600 SF', u'Lots', u'Property Status: Pending Contingency - Show', u'Dishwasher', u'Family room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Parcel #: 1602925', u'Zillow Home ID: 86692349']	http://photos3.zillowstatic.com/p_e/IStgoqbly81qfd0000000000.jpg	122000.0	[]	1440.0	NC	84269.0	28635	86692349
