baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Ararat	[u'Lot: 2.08 acres', u'Single Family', u'Built in 2010', u'All time views: 533', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $152,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: None', u'Appliances: Built-in Microwave', u'Appliances: Cook Top', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Vinyl', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Garage Description: None', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Garden Tub', u'Style: Ranch', u'Elementary School: Call School Board', u'Appliances: Refrigerator', u'Security System', u'Lot Description: Partially Wooded', u'Remarks', u'Fireplace Location: Dining Room', u'Remarks', u'Appliances: Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Parcel #: 5936-00-91-3198', u'Zillow Home ID: 113101165']	http://photos2.zillowstatic.com/p_e/ISpt38srdkw5gx0000000000.jpg	152000.0	[]	1960.0	NC	166237.0	27007	113101165
1.5	3	Mount Airy	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1971', u'All time views: 118', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $119,500', u'Last sale price/sqft: $53', u'Finished basement', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Appliances: Dishwasher', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Carpet', u'Flooring: Wood', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Water: Public', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Style: Split Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Flooring: Laminate', u'Water Heater: Electric', u'Fireplace Location: Basement', u'Pool on Property', u'Garage Description: Attached Carport', u'Story Number: Split Level', u'Appliances: Oven', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,236 sqft', u'Parcel #: 5918-04-93-2370', u'Zillow Home ID: 78363449']	http://photos2.zillowstatic.com/p_e/ISdsuuix9qz6jd0000000000.jpg	119500.0	[]	2236.0	NC	100806.0	27030	78363449
3.5	5	Pinnacle	[u'Lot: 2.06 acres', u'Single Family', u'Built in 2011', u'All time views: 3,352', u'Last sold: Dec 2015 for $287,000', u'Last sale price/sqft: $113', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Water', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Floor size: 2,540 sqft', u'Zillow Home ID: 2101566305']	http://photos2.zillowstatic.com/p_e/IShrog0jzjw9sg1000000000.jpg	287000.0	[]	2540.0	NC	250385.0	27043	2101566305
3.0	3	Siloam	[u'Lot: 2.9 acres', u'Single Family', u'Built in 1995', u'All time views: 976', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $275,000', u'Last sale price/sqft: $107', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood, Tile', u'Garden', u'Intercom', u'Parking: Garage - Attached, 3 spaces', u'Patio', u'Porch', u'Security System', u'Skylight', u'View: Mountain', u'Granite countertop', u'Guest parking', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,568 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Zillow Home ID: 2142507082']	http://photos1.zillowstatic.com/p_e/IS17qfn1n9uns31000000000.jpg	275000.0	[]	2568.0	NC	275804.0	27047	2142507082
2.5	3	Ararat	[u'Baths: 2 full, 1 half', u'Lot: 0.67 acres', u'Single Family', u'Built in 1992', u'All time views: 638', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $205,000', u'Last sale price/sqft: $114', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Paved Drive', u'Porch', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Tile', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Garage Description: Attached Garage', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Cooling: Heat Pump', u'Separate Shower', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Insulated Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Flooring: Laminate', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Built-in Furniture', u'Appliances: Refrigerator', u'Security System', u'Vacuum System', u'Heating: Fireplace', u'CO Detector', u'Fireplace Location: Great Room', u'Cooling: Attic Fan', u'Sewer: Private', u'Water: Private', u'Appliances: Water Purifier', u'Appliances: Range & Oven', u'Appliances: Dryer', u'Appliances: Microwave', u'Appliances: Washer & Dryer', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 0', u'Floor size: 1,800 sqft', u'Parcel #: 5925-00-12-4771', u'Zillow Home ID: 113100763']	http://photos2.zillowstatic.com/p_e/IStw8pkscvxffw0000000000.jpg	205000.0	[]	1800.0	NC	189012.0	27007	113100763
1.0	2	Ararat	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1926', u'All time views: 786', u'Last sold: Nov 2015 for $62,500', u'Last sale price/sqft: $67', u'Built Information: Existing', u'Cooling: Central', u'Patio', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Wood', u'Heating: Heat Pump', u'Status: Pending', u'Heating Fuel: Electric', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Foundation Basement: Partial', u'Garage Description: Detached Garage', u'Stories: 0', u'Floor size: 939 sqft', u'Zillow Home ID: 2119426041']	http://photos3.zillowstatic.com/p_e/IS52x8cmc7jmph0000000000.jpg	62500.0	[]	939.0	NC	63750.0	27007	2119426041
2.5	3	Ararat	[u'Lot: 2.08 acres', u'Single Family', u'Built in 2010', u'All time views: 540', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $152,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: None', u'Appliances: Built-in Microwave', u'Appliances: Cook Top', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Vinyl', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Garage Description: None', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Garden Tub', u'Style: Ranch', u'Elementary School: Call School Board', u'Appliances: Refrigerator', u'Security System', u'Lot Description: Partially Wooded', u'Remarks', u'Fireplace Location: Dining Room', u'Remarks', u'Appliances: Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Parcel #: 5936-00-91-3198', u'Zillow Home ID: 113101165']	http://photos2.zillowstatic.com/p_e/ISpt38srdkw5gx0000000000.jpg	152000.0	[]	1960.0	NC	166237.0	27007	113101165
1.5	3	Mount Airy	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1971', u'All time views: 120', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $119,500', u'Last sale price/sqft: $53', u'Finished basement', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Appliances: Dishwasher', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Carpet', u'Flooring: Wood', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Water: Public', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Style: Split Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Flooring: Laminate', u'Water Heater: Electric', u'Fireplace Location: Basement', u'Pool on Property', u'Garage Description: Attached Carport', u'Story Number: Split Level', u'Appliances: Oven', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,236 sqft', u'Parcel #: 5918-04-93-2370', u'Zillow Home ID: 78363449']	http://photos2.zillowstatic.com/p_e/ISdsuuix9qz6jd0000000000.jpg	119500.0	[]	2236.0	NC	100806.0	27030	78363449
3.5	5	Pinnacle	[u'Lot: 2.06 acres', u'Single Family', u'Built in 2011', u'All time views: 3,354', u'Last sold: Dec 2015 for $287,000', u'Last sale price/sqft: $113', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Water', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Floor size: 2,540 sqft', u'Zillow Home ID: 2101566305']	http://photos2.zillowstatic.com/p_e/IShrog0jzjw9sg1000000000.jpg	287000.0	[]	2540.0	NC	250385.0	27043	2101566305
3.0	3	Siloam	[u'Lot: 2.9 acres', u'Single Family', u'Built in 1995', u'All time views: 983', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $275,000', u'Last sale price/sqft: $107', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood, Tile', u'Garden', u'Intercom', u'Parking: Garage - Attached, 3 spaces', u'Patio', u'Porch', u'Security System', u'Skylight', u'View: Mountain', u'Granite countertop', u'Guest parking', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,568 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Zillow Home ID: 2142507082']	http://photos1.zillowstatic.com/p_e/IS17qfn1n9uns31000000000.jpg	275000.0	[]	2568.0	NC	275804.0	27047	2142507082
2.5	3	Ararat	[u'Baths: 2 full, 1 half', u'Lot: 0.67 acres', u'Single Family', u'Built in 1992', u'All time views: 633', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $205,000', u'Last sale price/sqft: $114', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Paved Drive', u'Porch', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Tile', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Garage Description: Attached Garage', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Cooling: Heat Pump', u'Separate Shower', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Insulated Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Flooring: Laminate', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Built-in Furniture', u'Appliances: Refrigerator', u'Security System', u'Vacuum System', u'Heating: Fireplace', u'CO Detector', u'Fireplace Location: Great Room', u'Cooling: Attic Fan', u'Sewer: Private', u'Water: Private', u'Appliances: Water Purifier', u'Appliances: Range & Oven', u'Appliances: Dryer', u'Appliances: Microwave', u'Appliances: Washer & Dryer', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 0', u'Floor size: 1,800 sqft', u'Parcel #: 5925-00-12-4771', u'Zillow Home ID: 113100763']	http://photos2.zillowstatic.com/p_e/IStw8pkscvxffw0000000000.jpg	205000.0	[]	1800.0	NC	189012.0	27007	113100763
1.0	2	Ararat	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1926', u'All time views: 783', u'Last sold: Nov 2015 for $62,500', u'Last sale price/sqft: $67', u'Built Information: Existing', u'Cooling: Central', u'Patio', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Wood', u'Heating: Heat Pump', u'Status: Pending', u'Heating Fuel: Electric', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Foundation Basement: Partial', u'Garage Description: Detached Garage', u'Stories: 0', u'Floor size: 939 sqft', u'Zillow Home ID: 2119426041']	http://photos3.zillowstatic.com/p_e/IS52x8cmc7jmph0000000000.jpg	62500.0	[]	939.0	NC	63750.0	27007	2119426041
2.5	3	Ararat	[u'Lot: 2.08 acres', u'Single Family', u'Built in 2010', u'All time views: 536', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $152,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: None', u'Appliances: Built-in Microwave', u'Appliances: Cook Top', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Vinyl', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Garage Description: None', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Garden Tub', u'Style: Ranch', u'Elementary School: Call School Board', u'Appliances: Refrigerator', u'Security System', u'Lot Description: Partially Wooded', u'Remarks', u'Fireplace Location: Dining Room', u'Remarks', u'Appliances: Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Parcel #: 5936-00-91-3198', u'Zillow Home ID: 113101165']	http://photos2.zillowstatic.com/p_e/ISpt38srdkw5gx0000000000.jpg	152000.0	[]	1960.0	NC	166237.0	27007	113101165
1.5	3	Mount Airy	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1971', u'All time views: 122', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $119,500', u'Last sale price/sqft: $53', u'Finished basement', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Appliances: Dishwasher', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Carpet', u'Flooring: Wood', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Water: Public', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Style: Split Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Flooring: Laminate', u'Water Heater: Electric', u'Fireplace Location: Basement', u'Pool on Property', u'Garage Description: Attached Carport', u'Story Number: Split Level', u'Appliances: Oven', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,236 sqft', u'Parcel #: 5918-04-93-2370', u'Zillow Home ID: 78363449']	http://photos2.zillowstatic.com/p_e/ISdsuuix9qz6jd0000000000.jpg	119500.0	[]	2236.0	NC	100806.0	27030	78363449
3.5	5	Pinnacle	[u'Lot: 2.06 acres', u'Single Family', u'Built in 2011', u'All time views: 3,358', u'Last sold: Dec 2015 for $287,000', u'Last sale price/sqft: $113', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Water', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Floor size: 2,540 sqft', u'Zillow Home ID: 2101566305']	http://photos2.zillowstatic.com/p_e/IShrog0jzjw9sg1000000000.jpg	287000.0	[]	2540.0	NC	250385.0	27043	2101566305
3.0	3	Siloam	[u'Lot: 2.9 acres', u'Single Family', u'Built in 1995', u'All time views: 985', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $275,000', u'Last sale price/sqft: $107', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood, Tile', u'Garden', u'Intercom', u'Parking: Garage - Attached, 3 spaces', u'Patio', u'Porch', u'Security System', u'Skylight', u'View: Mountain', u'Granite countertop', u'Guest parking', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,568 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Zillow Home ID: 2142507082']	http://photos1.zillowstatic.com/p_e/IS17qfn1n9uns31000000000.jpg	275000.0	[]	2568.0	NC	275804.0	27047	2142507082
2.5	3	Ararat	[u'Baths: 2 full, 1 half', u'Lot: 0.67 acres', u'Single Family', u'Built in 1992', u'All time views: 632', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $205,000', u'Last sale price/sqft: $114', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Paved Drive', u'Porch', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Tile', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Garage Description: Attached Garage', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Cooling: Heat Pump', u'Separate Shower', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Insulated Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Flooring: Laminate', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Built-in Furniture', u'Appliances: Refrigerator', u'Security System', u'Vacuum System', u'Heating: Fireplace', u'CO Detector', u'Fireplace Location: Great Room', u'Cooling: Attic Fan', u'Sewer: Private', u'Water: Private', u'Appliances: Water Purifier', u'Appliances: Range & Oven', u'Appliances: Dryer', u'Appliances: Microwave', u'Appliances: Washer & Dryer', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 0', u'Floor size: 1,800 sqft', u'Parcel #: 5925-00-12-4771', u'Zillow Home ID: 113100763']	http://photos2.zillowstatic.com/p_e/IStw8pkscvxffw0000000000.jpg	205000.0	[]	1800.0	NC	189012.0	27007	113100763
1.0	2	Ararat	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1926', u'All time views: 785', u'Last sold: Nov 2015 for $62,500', u'Last sale price/sqft: $67', u'Built Information: Existing', u'Cooling: Central', u'Patio', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Wood', u'Heating: Heat Pump', u'Status: Pending', u'Heating Fuel: Electric', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Foundation Basement: Partial', u'Garage Description: Detached Garage', u'Stories: 0', u'Floor size: 939 sqft', u'Zillow Home ID: 2119426041']	http://photos3.zillowstatic.com/p_e/IS52x8cmc7jmph0000000000.jpg	62500.0	[]	939.0	NC	63750.0	27007	2119426041
2.5	3	Ararat	[u'Lot: 2.08 acres', u'Single Family', u'Built in 2010', u'All time views: 535', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $152,000', u'Last sale price/sqft: $78', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: None', u'Appliances: Built-in Microwave', u'Appliances: Cook Top', u'Appliances: Dishwasher', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Deck', u'Flooring: Carpet', u'Flooring: Vinyl', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Garage Description: None', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Garden Tub', u'Style: Ranch', u'Elementary School: Call School Board', u'Appliances: Refrigerator', u'Security System', u'Lot Description: Partially Wooded', u'Remarks', u'Fireplace Location: Dining Room', u'Remarks', u'Appliances: Remarks', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Parcel #: 5936-00-91-3198', u'Zillow Home ID: 113101165']	http://photos2.zillowstatic.com/p_e/ISpt38srdkw5gx0000000000.jpg	152000.0	[]	1960.0	NC	166237.0	27007	113101165
1.5	3	Mount Airy	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1971', u'All time views: 124', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $119,500', u'Last sale price/sqft: $53', u'Finished basement', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Appliances: Dishwasher', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Flooring: Carpet', u'Flooring: Wood', u'Heating: Heat Pump', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Heating Fuel: Electric', u'Heating Fuel: Propane Gas', u'Water: Public', u'Insulated Windows', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Style: Split Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Flooring: Laminate', u'Water Heater: Electric', u'Fireplace Location: Basement', u'Pool on Property', u'Garage Description: Attached Carport', u'Story Number: Split Level', u'Appliances: Oven', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,236 sqft', u'Parcel #: 5918-04-93-2370', u'Zillow Home ID: 78363449']	http://photos2.zillowstatic.com/p_e/ISdsuuix9qz6jd0000000000.jpg	119500.0	[]	2236.0	NC	100806.0	27030	78363449
3.5	5	Pinnacle	[u'Lot: 2.06 acres', u'Single Family', u'Built in 2011', u'All time views: 3,357', u'Last sold: Dec 2015 for $287,000', u'Last sale price/sqft: $113', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Water', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Metal', u'Stories: 2', u'Floor size: 2,540 sqft', u'Zillow Home ID: 2101566305']	http://photos2.zillowstatic.com/p_e/IShrog0jzjw9sg1000000000.jpg	287000.0	[]	2540.0	NC	250385.0	27043	2101566305
