baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Halifax	[u'Lot: 5 acres', u'Single Family', u'Built in 1993', u'All time views: 1,910', u'Heating: Heat pump', u'Last sold: Jan 2016 for $181,600', u'Last sale price/sqft: $79', u'Cable Ready', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Security System', u'Windows: Other-See Remarks', u'Doors: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Views: Scenic', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Doors: Insulated', u'Foundation: Crawl Space', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Views: Country', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Roof: Dimensional', u'Windows: Vinyl Clad', u'Views: Secluded', u'Water: County Water', u'Windows: Fold-out', u'Attic: Eave Storage', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,288 sqft', u'Laundry: In Unit', u'Parcel #: 0601845', u'Zillow Home ID: 93036909']	http://photos1.zillowstatic.com/p_e/ISdw1vu55qe4od0000000000.jpg	181600.0	[]	2288.0	NC	0.0	27839	93036909
2.5	3	Halifax	[u'Baths: 2 full, 1 half', u'Lot: 1.22 acres', u'Single Family', u'Built in 1939', u'All time views: 535', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $125,500', u'Last sale price/sqft: $50', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Work Island', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Misc Info: None', u'Style: 1.5 Story', u'Windows: Vinyl Clad', u'Foundation: Other-See Remarks', u'Attic: Eave Storage', u'Flooring: Carpet Over Wood', u'Dishwasher', u'Microwave', u'Range / Oven', u'Trash compactor', u'Washer', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 0600687', u'Zillow Home ID: 93037087']	http://photos1.zillowstatic.com/p_e/ISd8js9tzh3pye0000000000.jpg	125500.0	[]	2500.0	NC	115663.0	27839	93037087
3.5	3	Halifax	[u'Baths: 3 full, 1 half', u'Lot: 18 acres', u'Single Family', u'Built in 1997', u'All time views: 4,599', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $245,000', u'Last sale price/sqft: $109', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile, Other', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'Vaulted Ceiling', u'Appliances: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Style: Other-See Remarks', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Fireplace: Other-See Remarks', u'Misc Info: Restricted', u'Views: Scenic', u'Views: Neighborhood', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Heating: Zoned System', u'A: Zoned System', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Views: Country', u'Water Amenities: None', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Views: Other-See Remarks', u'Heating: Other-See Remarks', u'Garage: None-Carport', u'Basement: None', u'Gravel Drive', u'Views: Secluded', u'A: Other-See Remarks', u'Water: County Water', u'Appliances: Jenn-Aire Type', u'Construction: Other-See Remarks', u'Exterior: Siding-Log', u'Style: Log', u'Doors: Storm-None', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,250 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1203862', u'Zillow Home ID: 84186925']	http://photos1.zillowstatic.com/p_e/ISd8vtyana0ujm1000000000.jpg	245000.0	[]	2250.0	NC	242680.0	27839	84186925
2.0	3	Halifax	[u'Lot: 1 acre', u'Single Family', u'Built in 1988', u'632 days on Zillow', u'Views since listing: 7,390', u'All time views: 7,453', u'101 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $146,000', u'Last sale price/sqft: $64', u'MLS #: 2056107', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Storage', u'A: Central Air', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Subdivision: Not in a Subdivision', u'Special Conditions: Lender Owned', u'Acres: 1-2.9 Acres', u'Dining room', u'Family room', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 0601481', u'Zillow Home ID: 84188320']	http://photos3.zillowstatic.com/p_e/IS5ab94ila8ytc0000000000.jpg	146000.0	[]	2280.0	NC	74785.0	27839	84188320
2.0	3	Halifax	[u'Single Family', u'Built in 2001', u'All time views: 380', u'Last sold: Sep 2014 for $35,000', u'Last sale price/sqft: $29', u'Floor size: 1,196 sqft', u'Zillow Home ID: 2130434094']	http://photos1.zillowstatic.com/p_e/IS-2phtjgajuqn1.jpg	35000.0	[]	1196.0	NC	70559.0	27839	2130434094
2.0	3	Halifax	[u'Lot: 4 acres', u'Single Family', u'Built in 1954', u'All time views: 2,227', u'Heating: Other', u'Last sold: Aug 2014 for $112,000', u'Last sale price/sqft: $53', u'Fireplace', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,100 sqft', u'Heating: Other', u'Parcel #: 1201907', u'Zillow Home ID: 84186613']	http://photos1.zillowstatic.com/p_e/ISp5t72zg7q3ma1000000000.jpg	112000.0	[]	2100.0	NC	140765.0	27839	84186613
2.5	3	Halifax	[u'Single Family', u'Built in 2004', u'All time views: 700', u'Last sold: Feb 2014 for $175,000', u'Last sale price/sqft: $118', u'Floor size: 1,482 sqft', u'Zillow Home ID: 2111156968']	http://photos1.zillowstatic.com/p_e/ISp5dflyxoqyc80000000000.jpg	175000.0	[]	1482.0	NC	88980.0	27839	2111156968
3.0	4	Halifax	[u'Lot: 5 acres', u'Single Family', u'Built in 1993', u'All time views: 1,909', u'Heating: Heat pump', u'Last sold: Jan 2016 for $181,600', u'Last sale price/sqft: $79', u'Cable Ready', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Security System', u'Windows: Other-See Remarks', u'Doors: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Views: Scenic', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Doors: Insulated', u'Foundation: Crawl Space', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Views: Country', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Roof: Dimensional', u'Windows: Vinyl Clad', u'Views: Secluded', u'Water: County Water', u'Windows: Fold-out', u'Attic: Eave Storage', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,288 sqft', u'Laundry: In Unit', u'Parcel #: 0601845', u'Zillow Home ID: 93036909']	http://photos1.zillowstatic.com/p_e/ISdw1vu55qe4od0000000000.jpg	181600.0	[]	2288.0	NC	0.0	27839	93036909
2.5	3	Halifax	[u'Baths: 2 full, 1 half', u'Lot: 1.22 acres', u'Single Family', u'Built in 1939', u'All time views: 539', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $125,500', u'Last sale price/sqft: $50', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Work Island', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Misc Info: None', u'Style: 1.5 Story', u'Windows: Vinyl Clad', u'Foundation: Other-See Remarks', u'Attic: Eave Storage', u'Flooring: Carpet Over Wood', u'Dishwasher', u'Microwave', u'Range / Oven', u'Trash compactor', u'Washer', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 0600687', u'Zillow Home ID: 93037087']	http://photos1.zillowstatic.com/p_e/ISd8js9tzh3pye0000000000.jpg	125500.0	[]	2500.0	NC	115663.0	27839	93037087
3.5	3	Halifax	[u'Baths: 3 full, 1 half', u'Lot: 18 acres', u'Single Family', u'Built in 1997', u'All time views: 4,601', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $245,000', u'Last sale price/sqft: $109', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile, Other', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'Vaulted Ceiling', u'Appliances: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Style: Other-See Remarks', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Fireplace: Other-See Remarks', u'Misc Info: Restricted', u'Views: Scenic', u'Views: Neighborhood', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Heating: Zoned System', u'A: Zoned System', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Views: Country', u'Water Amenities: None', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Views: Other-See Remarks', u'Heating: Other-See Remarks', u'Garage: None-Carport', u'Basement: None', u'Gravel Drive', u'Views: Secluded', u'A: Other-See Remarks', u'Water: County Water', u'Appliances: Jenn-Aire Type', u'Construction: Other-See Remarks', u'Exterior: Siding-Log', u'Style: Log', u'Doors: Storm-None', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,250 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1203862', u'Zillow Home ID: 84186925']	http://photos1.zillowstatic.com/p_e/ISd8vtyana0ujm1000000000.jpg	245000.0	[]	2250.0	NC	242680.0	27839	84186925
2.0	3	Halifax	[u'Lot: 1 acre', u'Single Family', u'Built in 1988', u'632 days on Zillow', u'Views since listing: 7,395', u'All time views: 7,458', u'101 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $146,000', u'Last sale price/sqft: $64', u'MLS #: 2056107', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Storage', u'A: Central Air', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Subdivision: Not in a Subdivision', u'Special Conditions: Lender Owned', u'Acres: 1-2.9 Acres', u'Dining room', u'Family room', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 0601481', u'Zillow Home ID: 84188320']	http://photos3.zillowstatic.com/p_e/IS5ab94ila8ytc0000000000.jpg	146000.0	[]	2280.0	NC	74785.0	27839	84188320
2.0	3	Halifax	[u'Single Family', u'Built in 2001', u'All time views: 381', u'Last sold: Sep 2014 for $35,000', u'Last sale price/sqft: $29', u'Floor size: 1,196 sqft', u'Zillow Home ID: 2130434094']	http://photos1.zillowstatic.com/p_e/IS-2phtjgajuqn1.jpg	35000.0	[]	1196.0	NC	70559.0	27839	2130434094
2.0	3	Halifax	[u'Lot: 4 acres', u'Single Family', u'Built in 1954', u'All time views: 2,228', u'Heating: Other', u'Last sold: Aug 2014 for $112,000', u'Last sale price/sqft: $53', u'Fireplace', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,100 sqft', u'Heating: Other', u'Parcel #: 1201907', u'Zillow Home ID: 84186613']	http://photos1.zillowstatic.com/p_e/ISp5t72zg7q3ma1000000000.jpg	112000.0	[]	2100.0	NC	140765.0	27839	84186613
2.5	3	Halifax	[u'Single Family', u'Built in 2004', u'All time views: 702', u'Last sold: Feb 2014 for $175,000', u'Last sale price/sqft: $118', u'Floor size: 1,482 sqft', u'Zillow Home ID: 2111156968']	http://photos1.zillowstatic.com/p_e/ISp5dflyxoqyc80000000000.jpg	175000.0	[]	1482.0	NC	88980.0	27839	2111156968
3.0	4	Halifax	[u'Lot: 5 acres', u'Single Family', u'Built in 1993', u'All time views: 1,908', u'Heating: Heat pump', u'Last sold: Jan 2016 for $181,600', u'Last sale price/sqft: $79', u'Cable Ready', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Security System', u'Windows: Other-See Remarks', u'Doors: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Views: Scenic', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Doors: Insulated', u'Foundation: Crawl Space', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Views: Country', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Roof: Dimensional', u'Windows: Vinyl Clad', u'Views: Secluded', u'Water: County Water', u'Windows: Fold-out', u'Attic: Eave Storage', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,288 sqft', u'Laundry: In Unit', u'Parcel #: 0601845', u'Zillow Home ID: 93036909']	http://photos1.zillowstatic.com/p_e/ISdw1vu55qe4od0000000000.jpg	181600.0	[]	2288.0	NC	0.0	27839	93036909
2.5	3	Halifax	[u'Baths: 2 full, 1 half', u'Lot: 1.22 acres', u'Single Family', u'Built in 1939', u'All time views: 533', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $125,500', u'Last sale price/sqft: $50', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Work Island', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Misc Info: None', u'Style: 1.5 Story', u'Windows: Vinyl Clad', u'Foundation: Other-See Remarks', u'Attic: Eave Storage', u'Flooring: Carpet Over Wood', u'Dishwasher', u'Microwave', u'Range / Oven', u'Trash compactor', u'Washer', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 0600687', u'Zillow Home ID: 93037087']	http://photos1.zillowstatic.com/p_e/ISd8js9tzh3pye0000000000.jpg	125500.0	[]	2500.0	NC	115663.0	27839	93037087
3.5	3	Halifax	[u'Baths: 3 full, 1 half', u'Lot: 18 acres', u'Single Family', u'Built in 1997', u'All time views: 4,602', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $245,000', u'Last sale price/sqft: $109', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile, Other', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'Vaulted Ceiling', u'Appliances: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Style: Other-See Remarks', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Fireplace: Other-See Remarks', u'Misc Info: Restricted', u'Views: Scenic', u'Views: Neighborhood', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Heating: Zoned System', u'A: Zoned System', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Views: Country', u'Water Amenities: None', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Views: Other-See Remarks', u'Heating: Other-See Remarks', u'Garage: None-Carport', u'Basement: None', u'Gravel Drive', u'Views: Secluded', u'A: Other-See Remarks', u'Water: County Water', u'Appliances: Jenn-Aire Type', u'Construction: Other-See Remarks', u'Exterior: Siding-Log', u'Style: Log', u'Doors: Storm-None', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,250 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1203862', u'Zillow Home ID: 84186925']	http://photos1.zillowstatic.com/p_e/ISd8vtyana0ujm1000000000.jpg	245000.0	[]	2250.0	NC	242680.0	27839	84186925
2.0	3	Halifax	[u'Lot: 1 acre', u'Single Family', u'Built in 1988', u'632 days on Zillow', u'Views since listing: 7,396', u'All time views: 7,459', u'101 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $146,000', u'Last sale price/sqft: $64', u'MLS #: 2056107', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Storage', u'A: Central Air', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Subdivision: Not in a Subdivision', u'Special Conditions: Lender Owned', u'Acres: 1-2.9 Acres', u'Dining room', u'Family room', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 0601481', u'Zillow Home ID: 84188320']	http://photos3.zillowstatic.com/p_e/IS5ab94ila8ytc0000000000.jpg	146000.0	[]	2280.0	NC	74785.0	27839	84188320
2.0	3	Halifax	[u'Single Family', u'Built in 2001', u'All time views: 383', u'Last sold: Sep 2014 for $35,000', u'Last sale price/sqft: $29', u'Floor size: 1,196 sqft', u'Zillow Home ID: 2130434094']	http://photos1.zillowstatic.com/p_e/IS-2phtjgajuqn1.jpg	35000.0	[]	1196.0	NC	70559.0	27839	2130434094
2.0	3	Halifax	[u'Lot: 4 acres', u'Single Family', u'Built in 1954', u'All time views: 2,231', u'Heating: Other', u'Last sold: Aug 2014 for $112,000', u'Last sale price/sqft: $53', u'Fireplace', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,100 sqft', u'Heating: Other', u'Parcel #: 1201907', u'Zillow Home ID: 84186613']	http://photos1.zillowstatic.com/p_e/ISp5t72zg7q3ma1000000000.jpg	112000.0	[]	2100.0	NC	140765.0	27839	84186613
2.5	3	Halifax	[u'Single Family', u'Built in 2004', u'All time views: 705', u'Last sold: Feb 2014 for $175,000', u'Last sale price/sqft: $118', u'Floor size: 1,482 sqft', u'Zillow Home ID: 2111156968']	http://photos1.zillowstatic.com/p_e/ISp5dflyxoqyc80000000000.jpg	175000.0	[]	1482.0	NC	88980.0	27839	2111156968
3.0	4	Halifax	[u'Lot: 5 acres', u'Single Family', u'Built in 1993', u'All time views: 1,911', u'Heating: Heat pump', u'Last sold: Jan 2016 for $181,600', u'Last sale price/sqft: $79', u'Cable Ready', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Security System', u'Windows: Other-See Remarks', u'Doors: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Views: Scenic', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Doors: Insulated', u'Foundation: Crawl Space', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Views: Country', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Attic: None', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Roof: Dimensional', u'Windows: Vinyl Clad', u'Views: Secluded', u'Water: County Water', u'Windows: Fold-out', u'Attic: Eave Storage', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 2,288 sqft', u'Laundry: In Unit', u'Parcel #: 0601845', u'Zillow Home ID: 93036909']	http://photos1.zillowstatic.com/p_e/ISdw1vu55qe4od0000000000.jpg	181600.0	[]	2288.0	NC	0.0	27839	93036909
2.5	3	Halifax	[u'Baths: 2 full, 1 half', u'Lot: 1.22 acres', u'Single Family', u'Built in 1939', u'All time views: 540', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $125,500', u'Last sale price/sqft: $50', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Window Treatments', u'Storage Building', u'Construction: Site Built', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Work Island', u'Asphalt Drive', u'Smoke Alarm', u'Paved Road', u'Misc Info: None', u'Style: 1.5 Story', u'Windows: Vinyl Clad', u'Foundation: Other-See Remarks', u'Attic: Eave Storage', u'Flooring: Carpet Over Wood', u'Dishwasher', u'Microwave', u'Range / Oven', u'Trash compactor', u'Washer', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 0600687', u'Zillow Home ID: 93037087']	http://photos1.zillowstatic.com/p_e/ISd8js9tzh3pye0000000000.jpg	125500.0	[]	2500.0	NC	115663.0	27839	93037087
3.5	3	Halifax	[u'Baths: 3 full, 1 half', u'Lot: 18 acres', u'Single Family', u'Built in 1997', u'All time views: 4,603', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $245,000', u'Last sale price/sqft: $109', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile, Other', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'Vaulted Ceiling', u'Appliances: Other-See Remarks', u'Storage Building', u'Construction: Site Built', u'Style: Other-See Remarks', u'Roof: 10+ Years', u'Garage: None-Garage', u'Fencing: None', u'Fireplace: Other-See Remarks', u'Misc Info: Restricted', u'Views: Scenic', u'Views: Neighborhood', u'A: Central', u'Attic: Access Only', u'Windows: Insulated', u'Sewer: Septic', u'Heating: Zoned System', u'A: Zoned System', u'Foundation: Crawl Space', u'Smoke Alarm', u'Paved Road', u'Open Foyer', u'Views: Country', u'Water Amenities: None', u'Misc Info: Underground Utilities', u'Style: 1.5 Story', u'Views: Other-See Remarks', u'Heating: Other-See Remarks', u'Garage: None-Carport', u'Basement: None', u'Gravel Drive', u'Views: Secluded', u'A: Other-See Remarks', u'Water: County Water', u'Appliances: Jenn-Aire Type', u'Construction: Other-See Remarks', u'Exterior: Siding-Log', u'Style: Log', u'Doors: Storm-None', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,250 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1203862', u'Zillow Home ID: 84186925']	http://photos1.zillowstatic.com/p_e/ISd8vtyana0ujm1000000000.jpg	245000.0	[]	2250.0	NC	242680.0	27839	84186925
2.0	3	Halifax	[u'Lot: 1 acre', u'Single Family', u'Built in 1988', u'632 days on Zillow', u'Views since listing: 7,397', u'All time views: 7,460', u'101 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $146,000', u'Last sale price/sqft: $64', u'MLS #: 2056107', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Storage', u'A: Central Air', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Subdivision: Not in a Subdivision', u'Special Conditions: Lender Owned', u'Acres: 1-2.9 Acres', u'Dining room', u'Family room', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,280 sqft', u'Heating: Gas', u'Parcel #: 0601481', u'Zillow Home ID: 84188320']	http://photos3.zillowstatic.com/p_e/IS5ab94ila8ytc0000000000.jpg	146000.0	[]	2280.0	NC	74785.0	27839	84188320
2.0	3	Halifax	[u'Single Family', u'Built in 2001', u'All time views: 384', u'Last sold: Sep 2014 for $35,000', u'Last sale price/sqft: $29', u'Floor size: 1,196 sqft', u'Zillow Home ID: 2130434094']	http://photos1.zillowstatic.com/p_e/IS-2phtjgajuqn1.jpg	35000.0	[]	1196.0	NC	70559.0	27839	2130434094
2.0	3	Halifax	[u'Lot: 4 acres', u'Single Family', u'Built in 1954', u'All time views: 2,232', u'Heating: Other', u'Last sold: Aug 2014 for $112,000', u'Last sale price/sqft: $53', u'Fireplace', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,100 sqft', u'Heating: Other', u'Parcel #: 1201907', u'Zillow Home ID: 84186613']	http://photos1.zillowstatic.com/p_e/ISp5t72zg7q3ma1000000000.jpg	112000.0	[]	2100.0	NC	140765.0	27839	84186613
2.5	3	Halifax	[u'Single Family', u'Built in 2004', u'All time views: 706', u'Last sold: Feb 2014 for $175,000', u'Last sale price/sqft: $118', u'Floor size: 1,482 sqft', u'Zillow Home ID: 2111156968']	http://photos1.zillowstatic.com/p_e/ISp5dflyxoqyc80000000000.jpg	175000.0	[]	1482.0	NC	88980.0	27839	2111156968
