baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Claremont	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1998', u'All time views: 3,432', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $62,000', u'Last sale price/sqft: $59', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 3 spaces', u'Porch', u'Security System', u'Laundry on Main', u'Water-Lake: None', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Manufactured', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,056 sqft', u'Parcel #: 3763030002620000', u'Zillow Home ID: 71926197']	http://photos1.zillowstatic.com/p_e/ISp9wgea8xscqv1000000000.jpg	62000.0	[]	1056.0	NC	67426.0	28610	71926197
1.5	3	Claremont	[u'Baths: 1 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1973', u'All time views: 3,970', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $95,900', u'Last sale price/sqft: $93', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Sewer: Septic', u'Garage Count: 2 Car Garage', u'Fencing: Partially Fenced', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Exterior: Storm door', u'Fireplace Description: Wood Burning Stove', u'Exterior Description: Hardiboard Siding', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Lot depth: 207 ft', u'Lot width: 141 ft', u'Parcel #: 3761157239040000', u'Zillow Home ID: 71950904']	http://photos2.zillowstatic.com/p_e/IShrgm3jzjnvia1000000000.jpg	95900.0	[]	1032.0	NC	91318.0	28610	71950904
2.0	3	Claremont	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1997', u'All time views: 3,590', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $154,000', u'Last sale price/sqft: $99', u'Fenced Yard', u'Flooring: Other', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,558 sqft', u'Heating: None', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3770030451350000', u'Zillow Home ID: 71928356']	http://photos2.zillowstatic.com/p_e/IS17eavipey95l0000000000.jpg	154000.0	[]	1558.0	NC	155940.0	28610	71928356
2.5	3	Claremont	[u'Baths: 2 full, 1 half', u'Lot: 2.58 acres', u'Single Family', u'Built in 1996', u'All time views: 2,224', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $280,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, Garage - Detached, 500 sqft garage', u'Porch', u'Vaulted Ceiling', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Attic Other', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'GardenTub', u'Outbuilding', u'Property Sub Type: F.R.O.G.', u'Parking: Garage - 2 Car', u'Parking: Garage - 1 Car', u'Parking: Parking Space - 3+', u'Parking: Side Load Garage', u'Level', u'Kitchen Island', u'Split BR Plan', u'Water: Water Softener System', u'Flooring: Tile', u'Microwave', u'Walk-in closet', u'Exterior material: Brick', u'Room count: 7', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,501 sqft', u'Parcel #: 3765032230120000', u'Zillow Home ID: 71958924']	http://photos2.zillowstatic.com/p_e/ISdo37fgodhh301000000000.jpg	280000.0	[]	2501.0	NC	282676.0	28610	71958924
3.0	3	Claremont	[u'Lot: 1.75 acres', u'Single Family', u'Built in 1958', u'All time views: 7,374', u'Cooling: Central', u'Heating: Heat pump, Radiant, Stove', u'Last sold: May 2016 for $163,500', u'Last sale price/sqft: $42', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Attached, Off street, 2 spaces', u'Partial basement', u'Patio', u'Porch', u'Security System', u'2 Homes in 1.  2 of everything.  2 kitchens', u'2 electrical systems', u'2 septic systems', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 11', u'Stories: 1', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 3,850 sqft', u'Heating: Electric', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 3762196071950000', u'Zillow Home ID: 71906977']	http://photos3.zillowstatic.com/p_e/ISxrbzf22wnjze0000000000.jpg	163500.0	[]	3850.0	NC	174582.0	28610	71906977
2.0	3	Claremont	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1994', u'All time views: 1,042', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $76,000', u'Last sale price/sqft: $43', u'Flooring: Other', u'Parking: Carport', u'Patio', u'Porch', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,782 sqft', u'Heating: None', u'Parcel #: 3770091780270000', u'Zillow Home ID: 71912552']	http://photos3.zillowstatic.com/p_e/ISxfael3jeeskp0000000000.jpg	76000.0	[]	1782.0	NC	74888.0	28610	71912552
2.0	4	Claremont	[u'Lot: 2.94 acres', u'Single Family', u'Built in 2016', u'All time views: 150', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: May 2016 for $159,500', u'Last sale price/sqft: $84', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'View: Territorial', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Cement concrete, Vinyl', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 1,900 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 3771143416250000', u'Zillow Home ID: 71961129']	http://photos1.zillowstatic.com/p_e/ISd05clp2wpzoo1000000000.jpg	159500.0	[]	1900.0	NC	95096.0	28610	71961129
1.5	2	Claremont	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1975', u'All time views: 164', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $18,000', u'Last sale price/sqft: $20', u'Parking: Garage - Attached, 200 sqft garage', u'Unfinished basement', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 880 sqft', u'Lot depth: 369 ft', u'Lot width: 113 ft', u'Parcel #: 3763047172440000', u'Zillow Home ID: 71965537']	http://photos2.zillowstatic.com/p_e/IS1dzjy301rnder.jpg	18000.0	[]	880.0	NC	57614.0	28610	71965537
2.0	3	Claremont	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1997', u'All time views: 1,972', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $150,000', u'Last sale price/sqft: $43', u'Deck', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Patio', u'Porch', u'Security System', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Lot depth: 177 ft', u'Lot width: 85 ft', u'Parcel #: 3762131249160000', u'Zillow Home ID: 71964618']	http://photos2.zillowstatic.com/p_e/ISpp4mss730jc10000000000.jpg	150000.0	[]	3526.0	NC	174715.0	28610	71964618
2.0	3	Claremont	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1998', u'All time views: 3,433', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $62,000', u'Last sale price/sqft: $59', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 3 spaces', u'Porch', u'Security System', u'Laundry on Main', u'Water-Lake: None', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Manufactured', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,056 sqft', u'Parcel #: 3763030002620000', u'Zillow Home ID: 71926197']	http://photos1.zillowstatic.com/p_e/ISp9wgea8xscqv1000000000.jpg	62000.0	[]	1056.0	NC	67426.0	28610	71926197
1.5	3	Claremont	[u'Baths: 1 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1973', u'All time views: 3,971', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $95,900', u'Last sale price/sqft: $93', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Sewer: Septic', u'Garage Count: 2 Car Garage', u'Fencing: Partially Fenced', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Exterior: Storm door', u'Fireplace Description: Wood Burning Stove', u'Exterior Description: Hardiboard Siding', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Lot depth: 207 ft', u'Lot width: 141 ft', u'Parcel #: 3761157239040000', u'Zillow Home ID: 71950904']	http://photos2.zillowstatic.com/p_e/IShrgm3jzjnvia1000000000.jpg	95900.0	[]	1032.0	NC	91318.0	28610	71950904
2.0	3	Claremont	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1997', u'All time views: 3,591', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $154,000', u'Last sale price/sqft: $99', u'Fenced Yard', u'Flooring: Other', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,558 sqft', u'Heating: None', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3770030451350000', u'Zillow Home ID: 71928356']	http://photos2.zillowstatic.com/p_e/IS17eavipey95l0000000000.jpg	154000.0	[]	1558.0	NC	155940.0	28610	71928356
2.5	3	Claremont	[u'Baths: 2 full, 1 half', u'Lot: 2.58 acres', u'Single Family', u'Built in 1996', u'All time views: 2,225', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $280,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, Garage - Detached, 500 sqft garage', u'Porch', u'Vaulted Ceiling', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Attic Other', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'GardenTub', u'Outbuilding', u'Property Sub Type: F.R.O.G.', u'Parking: Garage - 2 Car', u'Parking: Garage - 1 Car', u'Parking: Parking Space - 3+', u'Parking: Side Load Garage', u'Level', u'Kitchen Island', u'Split BR Plan', u'Water: Water Softener System', u'Flooring: Tile', u'Microwave', u'Walk-in closet', u'Exterior material: Brick', u'Room count: 7', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,501 sqft', u'Parcel #: 3765032230120000', u'Zillow Home ID: 71958924']	http://photos2.zillowstatic.com/p_e/ISdo37fgodhh301000000000.jpg	280000.0	[]	2501.0	NC	282676.0	28610	71958924
3.0	3	Claremont	[u'Lot: 1.75 acres', u'Single Family', u'Built in 1958', u'All time views: 7,375', u'Cooling: Central', u'Heating: Heat pump, Radiant, Stove', u'Last sold: May 2016 for $163,500', u'Last sale price/sqft: $42', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Attached, Off street, 2 spaces', u'Partial basement', u'Patio', u'Porch', u'Security System', u'2 Homes in 1.  2 of everything.  2 kitchens', u'2 electrical systems', u'2 septic systems', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 11', u'Stories: 1', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 3,850 sqft', u'Heating: Electric', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 3762196071950000', u'Zillow Home ID: 71906977']	http://photos3.zillowstatic.com/p_e/ISxrbzf22wnjze0000000000.jpg	163500.0	[]	3850.0	NC	174582.0	28610	71906977
2.0	3	Claremont	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1994', u'All time views: 1,043', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $76,000', u'Last sale price/sqft: $43', u'Flooring: Other', u'Parking: Carport', u'Patio', u'Porch', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,782 sqft', u'Heating: None', u'Parcel #: 3770091780270000', u'Zillow Home ID: 71912552']	http://photos3.zillowstatic.com/p_e/ISxfael3jeeskp0000000000.jpg	76000.0	[]	1782.0	NC	74888.0	28610	71912552
2.0	4	Claremont	[u'Lot: 2.94 acres', u'Single Family', u'Built in 2016', u'All time views: 151', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: May 2016 for $159,500', u'Last sale price/sqft: $84', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'View: Territorial', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Cement concrete, Vinyl', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 1,900 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 3771143416250000', u'Zillow Home ID: 71961129']	http://photos1.zillowstatic.com/p_e/ISd05clp2wpzoo1000000000.jpg	159500.0	[]	1900.0	NC	95096.0	28610	71961129
1.5	2	Claremont	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1975', u'All time views: 165', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $18,000', u'Last sale price/sqft: $20', u'Parking: Garage - Attached, 200 sqft garage', u'Unfinished basement', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 880 sqft', u'Lot depth: 369 ft', u'Lot width: 113 ft', u'Parcel #: 3763047172440000', u'Zillow Home ID: 71965537']	http://photos2.zillowstatic.com/p_e/IS1dzjy301rnder.jpg	18000.0	[]	880.0	NC	57614.0	28610	71965537
2.0	3	Claremont	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1997', u'All time views: 1,973', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $150,000', u'Last sale price/sqft: $43', u'Deck', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Patio', u'Porch', u'Security System', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Lot depth: 177 ft', u'Lot width: 85 ft', u'Parcel #: 3762131249160000', u'Zillow Home ID: 71964618']	http://photos2.zillowstatic.com/p_e/ISpp4mss730jc10000000000.jpg	150000.0	[]	3526.0	NC	174715.0	28610	71964618
2.0	3	Claremont	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1998', u'All time views: 3,434', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $62,000', u'Last sale price/sqft: $59', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 3 spaces', u'Porch', u'Security System', u'Laundry on Main', u'Water-Lake: None', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Manufactured', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,056 sqft', u'Parcel #: 3763030002620000', u'Zillow Home ID: 71926197']	http://photos1.zillowstatic.com/p_e/ISp9wgea8xscqv1000000000.jpg	62000.0	[]	1056.0	NC	67426.0	28610	71926197
1.5	3	Claremont	[u'Baths: 1 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1973', u'All time views: 3,972', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $95,900', u'Last sale price/sqft: $93', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Sewer: Septic', u'Garage Count: 2 Car Garage', u'Fencing: Partially Fenced', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Exterior: Storm door', u'Fireplace Description: Wood Burning Stove', u'Exterior Description: Hardiboard Siding', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Lot depth: 207 ft', u'Lot width: 141 ft', u'Parcel #: 3761157239040000', u'Zillow Home ID: 71950904']	http://photos2.zillowstatic.com/p_e/IShrgm3jzjnvia1000000000.jpg	95900.0	[]	1032.0	NC	91318.0	28610	71950904
2.0	3	Claremont	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1997', u'All time views: 3,592', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $154,000', u'Last sale price/sqft: $99', u'Fenced Yard', u'Flooring: Other', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,558 sqft', u'Heating: None', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3770030451350000', u'Zillow Home ID: 71928356']	http://photos2.zillowstatic.com/p_e/IS17eavipey95l0000000000.jpg	154000.0	[]	1558.0	NC	155940.0	28610	71928356
2.5	3	Claremont	[u'Baths: 2 full, 1 half', u'Lot: 2.58 acres', u'Single Family', u'Built in 1996', u'All time views: 2,226', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $280,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, Garage - Detached, 500 sqft garage', u'Porch', u'Vaulted Ceiling', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Attic Other', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'GardenTub', u'Outbuilding', u'Property Sub Type: F.R.O.G.', u'Parking: Garage - 2 Car', u'Parking: Garage - 1 Car', u'Parking: Parking Space - 3+', u'Parking: Side Load Garage', u'Level', u'Kitchen Island', u'Split BR Plan', u'Water: Water Softener System', u'Flooring: Tile', u'Microwave', u'Walk-in closet', u'Exterior material: Brick', u'Room count: 7', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,501 sqft', u'Parcel #: 3765032230120000', u'Zillow Home ID: 71958924']	http://photos2.zillowstatic.com/p_e/ISdo37fgodhh301000000000.jpg	280000.0	[]	2501.0	NC	282676.0	28610	71958924
3.0	3	Claremont	[u'Lot: 1.75 acres', u'Single Family', u'Built in 1958', u'All time views: 7,376', u'Cooling: Central', u'Heating: Heat pump, Radiant, Stove', u'Last sold: May 2016 for $163,500', u'Last sale price/sqft: $42', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Attached, Off street, 2 spaces', u'Partial basement', u'Patio', u'Porch', u'Security System', u'2 Homes in 1.  2 of everything.  2 kitchens', u'2 electrical systems', u'2 septic systems', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 11', u'Stories: 1', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 3,850 sqft', u'Heating: Electric', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 3762196071950000', u'Zillow Home ID: 71906977']	http://photos3.zillowstatic.com/p_e/ISxrbzf22wnjze0000000000.jpg	163500.0	[]	3850.0	NC	174582.0	28610	71906977
2.0	3	Claremont	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1994', u'All time views: 1,044', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $76,000', u'Last sale price/sqft: $43', u'Flooring: Other', u'Parking: Carport', u'Patio', u'Porch', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,782 sqft', u'Heating: None', u'Parcel #: 3770091780270000', u'Zillow Home ID: 71912552']	http://photos3.zillowstatic.com/p_e/ISxfael3jeeskp0000000000.jpg	76000.0	[]	1782.0	NC	74888.0	28610	71912552
2.0	4	Claremont	[u'Lot: 2.94 acres', u'Single Family', u'Built in 2016', u'All time views: 152', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: May 2016 for $159,500', u'Last sale price/sqft: $84', u'Attic', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'View: Territorial', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Cement concrete, Vinyl', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 1,900 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 3771143416250000', u'Zillow Home ID: 71961129']	http://photos1.zillowstatic.com/p_e/ISd05clp2wpzoo1000000000.jpg	159500.0	[]	1900.0	NC	95096.0	28610	71961129
1.5	2	Claremont	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1975', u'All time views: 166', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $18,000', u'Last sale price/sqft: $20', u'Parking: Garage - Attached, 200 sqft garage', u'Unfinished basement', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 880 sqft', u'Lot depth: 369 ft', u'Lot width: 113 ft', u'Parcel #: 3763047172440000', u'Zillow Home ID: 71965537']	http://photos2.zillowstatic.com/p_e/IS1dzjy301rnder.jpg	18000.0	[]	880.0	NC	57614.0	28610	71965537
2.0	3	Claremont	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1997', u'All time views: 1,974', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $150,000', u'Last sale price/sqft: $43', u'Deck', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Patio', u'Porch', u'Security System', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 3,526 sqft', u'Lot depth: 177 ft', u'Lot width: 85 ft', u'Parcel #: 3762131249160000', u'Zillow Home ID: 71964618']	http://photos2.zillowstatic.com/p_e/ISpp4mss730jc10000000000.jpg	150000.0	[]	3526.0	NC	174715.0	28610	71964618
2.0	3	Claremont	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1998', u'All time views: 3,435', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $62,000', u'Last sale price/sqft: $59', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 3 spaces', u'Porch', u'Security System', u'Laundry on Main', u'Water-Lake: None', u'Other Room 1: Laundry', u'County: Catawba', u'Style: Ranch', u'Water: Well', u'Type: Manufactured', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,056 sqft', u'Parcel #: 3763030002620000', u'Zillow Home ID: 71926197']	http://photos1.zillowstatic.com/p_e/ISp9wgea8xscqv1000000000.jpg	62000.0	[]	1056.0	NC	67426.0	28610	71926197
1.5	3	Claremont	[u'Baths: 1 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1973', u'All time views: 3,973', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $95,900', u'Last sale price/sqft: $93', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Sewer: Septic', u'Garage Count: 2 Car Garage', u'Fencing: Partially Fenced', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Exterior: Storm door', u'Fireplace Description: Wood Burning Stove', u'Exterior Description: Hardiboard Siding', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick, Wood', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,032 sqft', u'Lot depth: 207 ft', u'Lot width: 141 ft', u'Parcel #: 3761157239040000', u'Zillow Home ID: 71950904']	http://photos2.zillowstatic.com/p_e/IShrgm3jzjnvia1000000000.jpg	95900.0	[]	1032.0	NC	91318.0	28610	71950904
2.0	3	Claremont	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1997', u'All time views: 3,593', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $154,000', u'Last sale price/sqft: $99', u'Fenced Yard', u'Flooring: Other', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,558 sqft', u'Heating: None', u'Lot depth: 200 ft', u'Lot width: 100 ft', u'Parcel #: 3770030451350000', u'Zillow Home ID: 71928356']	http://photos2.zillowstatic.com/p_e/IS17eavipey95l0000000000.jpg	154000.0	[]	1558.0	NC	155940.0	28610	71928356
