baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Liberty	[u'Lot: 7.41 acres', u'Single Family', u'Built in 1952', u'All time views: 875', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $230,000', u'Last sale price/sqft: $108', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Pond', u'Porch', u'Association: Greensboro', u'Attic Description: Access Only', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Miscellaneous: Barns', u'Miscellaneous: Horses Allowed', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Circle Drive', u'Sewer: Private', u'Water: Private', u'Exterior Finish: Asbestos', u'Lot Description: Pasture Land', u'Dishwasher', u'Range / Oven', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,136 sqft', u'Heating: Gas, Oil, Propane butane', u'Parcel #: 100670', u'Zillow Home ID: 51211523']	http://photos1.zillowstatic.com/p_e/ISdk0ub19mto7u1000000000.jpg	230000.0	[]	2136.0	NC	202722.0	27298	51211523
2.0	3	Liberty	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1992', u'64 days on Zillow', u'Views since listing: 932', u'All time views: 1,975', u'12 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $74,000', u'Last sale price/sqft: $55', u'View Virtual Tour', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane', u'Lot width: 100 ft', u'Parcel #: 105146', u'Zillow Home ID: 66530999']	http://photos3.zillowstatic.com/p_e/ISeg1k5xv4mydw0000000000.jpg	74000.0	[]	1344.0	NC	135190.0	27298	66530999
2.0	3	Liberty	[u'Lot: 5.75 acres', u'Single Family', u'Built in 1972', u'All time views: 1,147', u'Heating: Other', u'Last sold: Jul 2016 for $135,000', u'Last sale price/sqft: $80', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Basement Description: No Basement', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'A: Window Unit(s)', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Style: Traditional', u'Water: City Water', u'Inside City: Yes', u'Fireplace Description: Wood Stove Insert', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Subdivision: Not in a Subdivision', u'Parking: Concrete', u'Foundation: Slab', u'Other Rooms: Sun Room', u'Special Conditions: Auction', u'Acres: 3-5.9 Acres', u'Bookshelves', u'Dining room', u'Exterior material: Brick', u'Stories: 0', u'Floor size: 1,680 sqft', u'Last remodel year: 1972', u'Parcel #: 8736175446', u'Zillow Home ID: 123035553']	http://photos2.zillowstatic.com/p_e/ISpha1qa9l7qwp0000000000.jpg	135000.0	[]	1680.0	NC	130720.0	27298	123035553
3.0	4	Liberty	[u'Lot: 5 acres', u'Single Family', u'Built in 2004', u'All time views: 8,453', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $279,000', u'Last sale price/sqft: $98', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 808 sqft garage', u'Pond', u'Porch', u'Security System', u'View: Water', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,845 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 8736014667', u'Zillow Home ID: 58188839']	http://photos2.zillowstatic.com/p_e/IS2rpwbm7xhbdl1000000000.jpg	279000.0	[]	2845.0	NC	278233.0	27298	58188839
2.0	3	Liberty	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1986', u'All time views: 1,630', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: Garage - Attached, 506 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,867 sqft', u'Last remodel year: 1986', u'Parcel #: 8737101414', u'Zillow Home ID: 50053272']	http://photos1.zillowstatic.com/p_e/IS6y5lgrxk1ksq1000000000.jpg	155000.0	[]	1867.0	NC	156511.0	27298	50053272
2.0	3	Liberty	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,026', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $110,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile', u'Parking: Off street', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Walk-in closet', u'Workshop', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,180 sqft', u'Laundry: In Unit', u'Lot width: 119 ft', u'Parcel #: 100903', u'Zillow Home ID: 67326621']	http://photos3.zillowstatic.com/p_e/ISl204g9tak1b80000000000.jpg	110000.0	[]	1180.0	NC	112831.0	27298	67326621
1.0	3	Liberty	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1949', u'All time views: 3,543', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $76,000', u'Last sale price/sqft: $63', u'Parking: Garage - Detached, 440 sqft garage', u'View: City', u'Exterior material: Metal', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: Gas', u'Last remodel year: 1990', u'Parcel #: 8726966576', u'Zillow Home ID: 50054517']	http://photos3.zillowstatic.com/p_e/ISxztilsvmm1831000000000.jpg	76000.0	[]	1200.0	NC	86249.0	27298	50054517
1.5	4	Liberty	[u'Baths: 1 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 1915', u'All time views: 5,313', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $110,000', u'Last sale price/sqft: $41', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport, 480 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,710 sqft', u'Heating: Gas', u'Last remodel year: 1915', u'Parcel #: 8736047472', u'Zillow Home ID: 50053801']	http://photos2.zillowstatic.com/p_e/ISp1ehw7cjh2so0000000000.jpg	110000.0	[]	2710.0	NC	131504.0	27298	50053801
2.0	3	Liberty	[u'Lot: 0.61 acres', u'Single Family', u'Built in 1920', u'All time views: 2,749', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $99,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Off street, 400 sqft garage', u'Living room', u'Vintage', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,711 sqft', u'Last remodel year: 1961', u'Parcel #: 8726988874', u'Zillow Home ID: 50054512']	http://photos3.zillowstatic.com/p_e/ISx7gtu2addw7o0000000000.jpg	99000.0	[]	1711.0	NC	98278.0	27298	50054512
2.0	3	Liberty	[u'Lot: 7.41 acres', u'Single Family', u'Built in 1952', u'All time views: 876', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $230,000', u'Last sale price/sqft: $108', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Pond', u'Porch', u'Association: Greensboro', u'Attic Description: Access Only', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Miscellaneous: Barns', u'Miscellaneous: Horses Allowed', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Circle Drive', u'Sewer: Private', u'Water: Private', u'Exterior Finish: Asbestos', u'Lot Description: Pasture Land', u'Dishwasher', u'Range / Oven', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,136 sqft', u'Heating: Gas, Oil, Propane butane', u'Parcel #: 100670', u'Zillow Home ID: 51211523']	http://photos1.zillowstatic.com/p_e/ISdk0ub19mto7u1000000000.jpg	230000.0	[]	2136.0	NC	202722.0	27298	51211523
2.0	3	Liberty	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1992', u'64 days on Zillow', u'Views since listing: 932', u'All time views: 1,976', u'12 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $74,000', u'Last sale price/sqft: $55', u'View Virtual Tour', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane', u'Lot width: 100 ft', u'Parcel #: 105146', u'Zillow Home ID: 66530999']	http://photos3.zillowstatic.com/p_e/ISeg1k5xv4mydw0000000000.jpg	74000.0	[]	1344.0	NC	135190.0	27298	66530999
2.0	3	Liberty	[u'Lot: 5.75 acres', u'Single Family', u'Built in 1972', u'All time views: 1,148', u'Heating: Other', u'Last sold: Jul 2016 for $135,000', u'Last sale price/sqft: $80', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Basement Description: No Basement', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'A: Window Unit(s)', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Style: Traditional', u'Water: City Water', u'Inside City: Yes', u'Fireplace Description: Wood Stove Insert', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Subdivision: Not in a Subdivision', u'Parking: Concrete', u'Foundation: Slab', u'Other Rooms: Sun Room', u'Special Conditions: Auction', u'Acres: 3-5.9 Acres', u'Bookshelves', u'Dining room', u'Exterior material: Brick', u'Stories: 0', u'Floor size: 1,680 sqft', u'Last remodel year: 1972', u'Parcel #: 8736175446', u'Zillow Home ID: 123035553']	http://photos2.zillowstatic.com/p_e/ISpha1qa9l7qwp0000000000.jpg	135000.0	[]	1680.0	NC	130720.0	27298	123035553
3.0	4	Liberty	[u'Lot: 5 acres', u'Single Family', u'Built in 2004', u'All time views: 8,454', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $279,000', u'Last sale price/sqft: $98', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 808 sqft garage', u'Pond', u'Porch', u'Security System', u'View: Water', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,845 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 8736014667', u'Zillow Home ID: 58188839']	http://photos2.zillowstatic.com/p_e/IS2rpwbm7xhbdl1000000000.jpg	279000.0	[]	2845.0	NC	278233.0	27298	58188839
2.0	3	Liberty	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1986', u'All time views: 1,628', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: Garage - Attached, 506 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,867 sqft', u'Last remodel year: 1986', u'Parcel #: 8737101414', u'Zillow Home ID: 50053272']	http://photos1.zillowstatic.com/p_e/IS6y5lgrxk1ksq1000000000.jpg	155000.0	[]	1867.0	NC	156511.0	27298	50053272
2.0	3	Liberty	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,027', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $110,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile', u'Parking: Off street', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Walk-in closet', u'Workshop', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,180 sqft', u'Laundry: In Unit', u'Lot width: 119 ft', u'Parcel #: 100903', u'Zillow Home ID: 67326621']	http://photos3.zillowstatic.com/p_e/ISl204g9tak1b80000000000.jpg	110000.0	[]	1180.0	NC	112831.0	27298	67326621
1.0	3	Liberty	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1949', u'All time views: 3,544', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $76,000', u'Last sale price/sqft: $63', u'Parking: Garage - Detached, 440 sqft garage', u'View: City', u'Exterior material: Metal', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: Gas', u'Last remodel year: 1990', u'Parcel #: 8726966576', u'Zillow Home ID: 50054517']	http://photos3.zillowstatic.com/p_e/ISxztilsvmm1831000000000.jpg	76000.0	[]	1200.0	NC	86249.0	27298	50054517
1.5	4	Liberty	[u'Baths: 1 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 1915', u'All time views: 5,314', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $110,000', u'Last sale price/sqft: $41', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport, 480 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,710 sqft', u'Heating: Gas', u'Last remodel year: 1915', u'Parcel #: 8736047472', u'Zillow Home ID: 50053801']	http://photos2.zillowstatic.com/p_e/ISp1ehw7cjh2so0000000000.jpg	110000.0	[]	2710.0	NC	131504.0	27298	50053801
2.0	3	Liberty	[u'Lot: 0.61 acres', u'Single Family', u'Built in 1920', u'All time views: 2,750', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $99,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Off street, 400 sqft garage', u'Living room', u'Vintage', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,711 sqft', u'Last remodel year: 1961', u'Parcel #: 8726988874', u'Zillow Home ID: 50054512']	http://photos3.zillowstatic.com/p_e/ISx7gtu2addw7o0000000000.jpg	99000.0	[]	1711.0	NC	98278.0	27298	50054512
2.0	3	Liberty	[u'Lot: 7.41 acres', u'Single Family', u'Built in 1952', u'All time views: 877', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $230,000', u'Last sale price/sqft: $108', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Pond', u'Porch', u'Association: Greensboro', u'Attic Description: Access Only', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Miscellaneous: Barns', u'Miscellaneous: Horses Allowed', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Circle Drive', u'Sewer: Private', u'Water: Private', u'Exterior Finish: Asbestos', u'Lot Description: Pasture Land', u'Dishwasher', u'Range / Oven', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,136 sqft', u'Heating: Gas, Oil, Propane butane', u'Parcel #: 100670', u'Zillow Home ID: 51211523']	http://photos1.zillowstatic.com/p_e/ISdk0ub19mto7u1000000000.jpg	230000.0	[]	2136.0	NC	202722.0	27298	51211523
2.0	3	Liberty	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1992', u'64 days on Zillow', u'Views since listing: 933', u'All time views: 1,977', u'12 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $74,000', u'Last sale price/sqft: $55', u'View Virtual Tour', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane', u'Lot width: 100 ft', u'Parcel #: 105146', u'Zillow Home ID: 66530999']	http://photos3.zillowstatic.com/p_e/ISeg1k5xv4mydw0000000000.jpg	74000.0	[]	1344.0	NC	135190.0	27298	66530999
2.0	3	Liberty	[u'Lot: 5.75 acres', u'Single Family', u'Built in 1972', u'All time views: 1,149', u'Heating: Other', u'Last sold: Jul 2016 for $135,000', u'Last sale price/sqft: $80', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Basement Description: No Basement', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'A: Window Unit(s)', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Style: Traditional', u'Water: City Water', u'Inside City: Yes', u'Fireplace Description: Wood Stove Insert', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Subdivision: Not in a Subdivision', u'Parking: Concrete', u'Foundation: Slab', u'Other Rooms: Sun Room', u'Special Conditions: Auction', u'Acres: 3-5.9 Acres', u'Bookshelves', u'Dining room', u'Exterior material: Brick', u'Stories: 0', u'Floor size: 1,680 sqft', u'Last remodel year: 1972', u'Parcel #: 8736175446', u'Zillow Home ID: 123035553']	http://photos2.zillowstatic.com/p_e/ISpha1qa9l7qwp0000000000.jpg	135000.0	[]	1680.0	NC	130720.0	27298	123035553
3.0	4	Liberty	[u'Lot: 5 acres', u'Single Family', u'Built in 2004', u'All time views: 8,455', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $279,000', u'Last sale price/sqft: $98', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 808 sqft garage', u'Pond', u'Porch', u'Security System', u'View: Water', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,845 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 8736014667', u'Zillow Home ID: 58188839']	http://photos2.zillowstatic.com/p_e/IS2rpwbm7xhbdl1000000000.jpg	279000.0	[]	2845.0	NC	278233.0	27298	58188839
2.0	3	Liberty	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1986', u'All time views: 1,629', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: Garage - Attached, 506 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,867 sqft', u'Last remodel year: 1986', u'Parcel #: 8737101414', u'Zillow Home ID: 50053272']	http://photos1.zillowstatic.com/p_e/IS6y5lgrxk1ksq1000000000.jpg	155000.0	[]	1867.0	NC	156511.0	27298	50053272
2.0	3	Liberty	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,028', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $110,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Fireplace', u'Flooring: Tile', u'Parking: Off street', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Walk-in closet', u'Workshop', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,180 sqft', u'Laundry: In Unit', u'Lot width: 119 ft', u'Parcel #: 100903', u'Zillow Home ID: 67326621']	http://photos3.zillowstatic.com/p_e/ISl204g9tak1b80000000000.jpg	110000.0	[]	1180.0	NC	112831.0	27298	67326621
1.0	3	Liberty	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1949', u'All time views: 3,545', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $76,000', u'Last sale price/sqft: $63', u'Parking: Garage - Detached, 440 sqft garage', u'View: City', u'Exterior material: Metal', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: Gas', u'Last remodel year: 1990', u'Parcel #: 8726966576', u'Zillow Home ID: 50054517']	http://photos3.zillowstatic.com/p_e/ISxztilsvmm1831000000000.jpg	76000.0	[]	1200.0	NC	86249.0	27298	50054517
1.5	4	Liberty	[u'Baths: 1 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 1915', u'All time views: 5,315', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $110,000', u'Last sale price/sqft: $41', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport, 480 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,710 sqft', u'Heating: Gas', u'Last remodel year: 1915', u'Parcel #: 8736047472', u'Zillow Home ID: 50053801']	http://photos2.zillowstatic.com/p_e/ISp1ehw7cjh2so0000000000.jpg	110000.0	[]	2710.0	NC	131504.0	27298	50053801
2.0	3	Liberty	[u'Lot: 0.61 acres', u'Single Family', u'Built in 1920', u'All time views: 2,751', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $99,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Off street, 400 sqft garage', u'Living room', u'Vintage', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,711 sqft', u'Last remodel year: 1961', u'Parcel #: 8726988874', u'Zillow Home ID: 50054512']	http://photos3.zillowstatic.com/p_e/ISx7gtu2addw7o0000000000.jpg	99000.0	[]	1711.0	NC	98278.0	27298	50054512
2.0	3	Liberty	[u'Lot: 7.41 acres', u'Single Family', u'Built in 1952', u'All time views: 878', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $230,000', u'Last sale price/sqft: $108', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Pond', u'Porch', u'Association: Greensboro', u'Attic Description: Access Only', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Miscellaneous: Barns', u'Miscellaneous: Horses Allowed', u'Dog Run', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Circle Drive', u'Sewer: Private', u'Water: Private', u'Exterior Finish: Asbestos', u'Lot Description: Pasture Land', u'Dishwasher', u'Range / Oven', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,136 sqft', u'Heating: Gas, Oil, Propane butane', u'Parcel #: 100670', u'Zillow Home ID: 51211523']	http://photos1.zillowstatic.com/p_e/ISdk0ub19mto7u1000000000.jpg	230000.0	[]	2136.0	NC	202722.0	27298	51211523
2.0	3	Liberty	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1992', u'64 days on Zillow', u'Views since listing: 934', u'All time views: 1,978', u'12 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $74,000', u'Last sale price/sqft: $55', u'View Virtual Tour', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane', u'Lot width: 100 ft', u'Parcel #: 105146', u'Zillow Home ID: 66530999']	http://photos3.zillowstatic.com/p_e/ISeg1k5xv4mydw0000000000.jpg	74000.0	[]	1344.0	NC	135190.0	27298	66530999
